isRTL,ActVal,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),ImgDim (dimensions flattened),K,Labels,MH,MW,NumChannels,Output Feature Map Dim (dimensions flattened),Padding (dimensions flattened),Stride (dimensions flattened),accDataType (bits),binaryXnorMode,inWidth,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeConvolutioninputgeneratorrtl,isOp_typeFmpaddingrtl,isOp_typeLabelselecthls,isOp_typeMvauhls,isOp_typeMvaurtl,isOp_typeThresholdingrtl,outputDataType (bits),parallel_window,weightDataType (bits),PE,SIMD,isRam_styleAuto,isRam_styleBlock,isRam_styleDistributed,isResTypeDsp,isResTypeLut,depth,isImpl_styleRtl,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
0,,,,,,,1.0,10.0,,,,,,,,,,7.0,,1.0,0,0,1,0,0,0,8.0,,,1.0,,0,0,0,0,0,,0,53,61,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,1.0,0,1,0,1,0,,0,1428,1059,16.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,1.0,0,1,0,1,0,,0,316,286,1.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,1.0,0,1,0,1,0,,0,331,268,0.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,,0,49,53,0.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,,0,127,30,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,,0,45,22,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,32.0,1,55,24,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,15,22,0.0,0
1,,,,,,,,,,,,,,,,,7.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,15,22,0.0,0
1,,,,,,,,,,,,,,,,,8.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,15,22,0.0,0
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,1.0,,0,0,0,0,0,,0,13,13,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,2.0,0,1,0,1,0,,0,1436,1051,8.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,5,6,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,,0,107,29,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,4.0,0,1,0,1,0,,0,721,1040,4.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,6,9,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,196.0,1,122,29,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,7.0,0,1,0,1,0,,0,628,1051,2.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,8,13,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,112.0,1,83,27,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,33.0,1,54,25,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,8.0,0,1,0,1,0,,0,620,1060,2.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,7,14,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,98.0,1,83,27,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,39.0,1,62,25,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,14.0,0,1,0,1,0,,0,594,1104,2.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,9,21,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,56.0,1,84,33,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,64.0,1,64,26,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,61.0,1,62,25,0.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,2.0,0,1,0,1,0,,0,322,277,0.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,32.0,1,55,24,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,16.0,0,1,0,1,0,,0,575,1136,2.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,9,23,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,49.0,1,86,33,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,28.0,0,1,0,1,0,,0,647,1248,2.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,11,36,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,32.0,1,98,48,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,54.0,1,60,25,0.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,4.0,0,1,0,1,0,,0,281,290,0.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,2.0,1,15,22,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,49.0,0,1,0,1,0,,0,606,1396,2.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,14,58,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,,0,46,23,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,32.0,1,146,72,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,56.0,0,1,0,1,0,,0,744,1439,2.0,0
0,0.0,,,,,,,,64.0,64.0,,,,,7.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,8.0,0,1,0,1,0,,0,276,306,0.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,13,65,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,,0,86,27,0.0,0
0,0.0,,,,,,,,64.0,784.0,,,,,10.0,1.0,,,0.0,1.0,0,0,0,1,0,0,,,,1.0,98.0,0,1,0,1,0,,0,795,1682,1.5,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,12,108,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,32.0,1,242,120,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,36.0,1,60,25,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,0,0,0,0,0,,0,14,108,0.0,0
1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,217.0,1,192,37,0.0,0
1,,,,,,,,,,,,,,,,,1.0,,,,0,0,0,0,0,0,,,,,,1,0,0,0,0,38.0,1,61,25,0.0,0
1,0.0,,,,,,,,,,784.0,,,,,,,8.0,,1.0,0,0,0,0,0,1,,,9.0,2.0,,0,0,0,0,0,,0,14,16,0.0,0
0,0.0,,,,,,,,10.0,64.0,,,,,7.0,1.0,,,1.0,1.0,0,0,0,1,0,0,7.0,,,1.0,2.0,0,1,0,1,0,,0,304,263,0.5,0
