session,run_name,node_name,base_fifo,split_idx,dataType_bits,simd,inWidth,depth,bit_capacity,ram_style,impl_style,Total LUTs,Logic LUTs,LUTRAMs,SRLs,Total FFs,RAMB36,RAMB18,DSP Blocks
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_0,StreamingFIFO_rtl_0,0,8,1,8,2048,16384,auto,vivado,29.0,29.0,0.0,0.0,61.0,0.0,1.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_1,StreamingFIFO_rtl_1,0,8,1,8,99,792,auto,rtl,15.0,15.0,0.0,0.0,22.0,0.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_2,StreamingFIFO_rtl_2,0,8,1,8,2048,16384,auto,vivado,15.0,15.0,0.0,0.0,22.0,0.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_3,StreamingFIFO_rtl_3,0,8,1,8,1024,8192,auto,vivado,32.0,32.0,0.0,0.0,77.0,8.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_4,StreamingFIFO_rtl_4,0,8,1,8,16384,131072,auto,vivado,32.0,32.0,0.0,0.0,77.0,8.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_5,StreamingFIFO_rtl_5,0,8,1,8,4096,32768,auto,vivado,15.0,15.0,0.0,0.0,22.0,0.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_6,StreamingFIFO_rtl_6,0,8,1,8,2048,16384,auto,vivado,71.0,71.0,0.0,0.0,134.0,0.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_7,StreamingFIFO_rtl_7,0,8,1,8,1024,8192,auto,vivado,162.0,98.0,0.0,64.0,80.0,0.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_8,StreamingFIFO_rtl_8,0,8,1,8,512,4096,auto,vivado,49.0,49.0,0.0,0.0,53.0,0.0,1.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_9,StreamingFIFO_rtl_9,0,8,1,8,236,1888,auto,rtl,29.0,29.0,0.0,0.0,65.0,1.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_10,StreamingFIFO_rtl_10,0,1,1,1,32768,32768,auto,vivado,15.0,15.0,0.0,0.0,22.0,0.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_11,StreamingFIFO_rtl_11,0,1,1,1,8192,8192,auto,vivado,15.0,15.0,0.0,0.0,22.0,0.0,0.0,0.0
CIFAR10_1W1A_2026-04-11_22-37-26,run1_baseline_folded,StreamingFIFO_rtl_12,StreamingFIFO_rtl_12,0,1,1,1,4096,4096,auto,vivado,49.0,49.0,0.0,0.0,53.0,0.0,1.0,0.0
