model_id,session,timestamp,run_name,run_number,is_baseline,fifo_name,fifo_pos,fifo_impl_style,depth,is_constrained,up_out_fifo_depths,up_PE,up_SIMD,up_MH,up_MW,up_IFMChannels,up_OFMChannels,up_numChannels,up_Labels,up_inWidth,up_outWidth,up_IFMDim,up_OFMDim,up_KernelDim,up_Stride,up_inputBits,up_outputBits,up_weightBits,up_accBits,dn_layer_type,dn_impl_type,dn_PE,dn_SIMD,dn_op_type,dn_MH,dn_MW,dn_IFMChannels,dn_OFMChannels,dn_numChannels,dn_Labels,dn_inWidth,dn_outWidth,dn_IFMDim,dn_OFMDim,dn_KernelDim,dn_Stride,dn_inputBits,dn_outputBits,dn_weightBits,dn_accBits,up_layer_type,up_impl_type,up_op_type
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run0_get_initial_fold,0,0,StreamingFIFO_rtl_0,0,rtl,784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thresholding,rtl,1,1,Thresholding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run0_get_initial_fold,0,0,StreamingFIFO_rtl_1,2,vivado,784,1,784,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,1,1,MVAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thresholding,rtl,Thresholding
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run0_get_initial_fold,0,0,StreamingFIFO_rtl_2,4,rtl,32,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,1,1,MVAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,MVAU
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run0_get_initial_fold,0,0,StreamingFIFO_rtl_3,6,rtl,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,1,1,MVAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,MVAU
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run0_get_initial_fold,0,0,StreamingFIFO_rtl_4,8,rtl,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,1,1,MVAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,MVAU
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run0_get_initial_fold,0,0,StreamingFIFO_rtl_5,10,rtl,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,LabelSelect,hls,1,1,LabelSelect,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,MVAU
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run0_get_initial_fold,0,0,StreamingFIFO_rtl_6,12,rtl,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LabelSelect,hls,LabelSelect
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run1_baseline_folded,1,1,StreamingFIFO_rtl_0,0,rtl,784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thresholding,rtl,1,1,Thresholding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run1_baseline_folded,1,1,StreamingFIFO_rtl_1,2,vivado,784,1,784,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,1,1,MVAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Thresholding,rtl,Thresholding
MNIST_1W1A,MNIST_1W1A_2026-03-24_23-17-18,2026-03-24_23-17-18,run1_baseline_folded,1,1,StreamingFIFO_rtl_2,4,rtl,32,1,32,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,1,1,MVAU,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,MVAU,hls,MVAU
