session,run_name,logical_fifo_name,chain_length,dataType_bits,tensor_volume,ram_style,impl_style,produtor_node,produtor_op,produtor_PE,produtor_cycles,p_throughput,p_transfers,consumidor_node,consumidor_op,consumidor_SIMD,consumidor_cycles,c_throughput,c_transfers,parallelism_mismatch,real_depth,cycle_ratio,theoretical_accumulation,theoretical_fifo_depth
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl_0,3,8,4096,auto,vivado,Input_Node,Input,1,1,1.0,4096.0,FMPadding_rtl_0,FMPadding_rtl,1,4624,0.00021626297577854672,4096.0,0,868,0.00021626297577854672,4095.114186851211,4095.114186851211
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl_1,3,8,4624,auto,vivado,FMPadding_rtl_0,FMPadding_rtl,1,4624,0.00021626297577854672,4624.0,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,1,9500,0.00010526315789473685,4624.0,0,4624,0.48673684210526313,2373.3288421052634,2373.3288421052634
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl,1,8,9216,auto,rtl,ConvolutionInputGenerator_rtl_0,ConvolutionInputGenerator_rtl,1,9500,0.00010526315789473685,9216.0,StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,1,1,1.0,9216.0,0,2,9500.0,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl,1,8,9216,auto,rtl,StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,1,1,1.0,9216.0,MVAU_hls_0,MVAU_hls,18,8192,0.002197265625,512.0,1,2,0.0001220703125,9214.875,9214.875
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl,1,2,4096,auto,rtl,MVAU_hls_0,MVAU_hls,1,8192,0.0001220703125,4096.0,FMPadding_rtl_1,FMPadding_rtl,1,5184,0.00019290123456790122,4096.0,0,157,1.5802469135802468,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl_5,2,2,5184,auto,rtl,FMPadding_rtl_1,FMPadding_rtl,1,5184,0.00019290123456790122,5184.0,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,1,9840,0.0001016260162601626,5184.0,0,463,0.526829268292683,2452.917073170732,2452.917073170732
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl,1,2,9216,auto,rtl,ConvolutionInputGenerator_rtl_1,ConvolutionInputGenerator_rtl,1,9840,0.0001016260162601626,9216.0,StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,1,1,1.0,9216.0,0,2,9840.0,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl,1,8,9216,auto,rtl,StreamingDataWidthConverter_rtl_1,StreamingDataWidthConverter_rtl,1,1,1.0,9216.0,MVAU_hls_1,MVAU_hls,8,9216,0.0008680555555555555,1152.0,1,32,0.00010850694444444444,9215.0,9215.0
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl,1,2,512,auto,rtl,MVAU_hls_1,MVAU_hls,1,9216,0.00010850694444444444,512.0,FMPadding_rtl_2,FMPadding_rtl,1,800,0.00125,512.0,0,2,11.52,0.0,0.0
SAT6_T2W2_2026-04-02_15-14-59,run9_optimized,StreamingFIFO_rtl,1,2,800,auto,rtl,FMPadding_rtl_2,FMPadding_rtl,1,800,0.00125,800.0,ConvolutionInputGenerator_rtl_2,ConvolutionInputGenerator_rtl,1,1336,0.0007485029940119761,800.0,0,2,0.5988023952095808,320.9580838323354,320.9580838323354
