model_id,session,timestamp,run_name,run_number,is_baseline,fixed_ram_style,fixed_resType,Submodule Instance,base_name,isRTL,isHLS,layer_idx,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,Padding,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depth_trigger_bram,depth_trigger_uram,depthwise,inWidth,inputDataType,is1D,mem_mode,noActivation,numInputVectors,numSteps,op_type,outputDataType,parallel_window,runtime_writeable_weights,weightDataType,PE,SIMD,ram_style,resType,depth,impl_style,estimated_cycles,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run1_baseline_folded,1,1,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,50176,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,1,block,dsp,,,50176,1428,1059,16.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run1_baseline_folded,1,1,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,4096,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,1,block,dsp,,,4096,316,286,1.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run1_baseline_folded,1,1,block,dsp,MVAU_hls_2,MVAU,0,1,2,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,4096,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,1,block,dsp,,,4096,316,286,1.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run1_baseline_folded,1,1,block,dsp,MVAU_hls_3,MVAU,0,1,3,0,,,,,,,,10,64,,,,,INT7,fpgadataflow,1,640,,,,,BINARY,,internal_decoupled,1,[1],,MVAU_hls,INT7,,0,BINARY,1,1,block,dsp,,,640,331,268,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run2_optimized,2,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,25088,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,2,block,dsp,,,25088,1436,1051,8.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run2_optimized,2,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,4096,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,1,block,dsp,,,4096,316,286,1.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run2_optimized,2,0,block,dsp,MVAU_hls_2,MVAU,0,1,2,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,4096,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,1,block,dsp,,,4096,316,286,1.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run2_optimized,2,0,block,dsp,MVAU_hls_3,MVAU,0,1,3,0,,,,,,,,10,64,,,,,INT7,fpgadataflow,1,640,,,,,BINARY,,internal_decoupled,1,[1],,MVAU_hls,INT7,,0,BINARY,1,1,block,dsp,,,640,331,268,0.5,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run3_optimized,3,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0,,,,,,,,64,784,,,,,INT10,fpgadataflow,1,12544,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,4,block,dsp,,,12544,721,1040,4.0,0
MNIST_1W1A,MNIST_1W1A_2026-04-05_18-03-39,2026-04-05_18-03-39,run3_optimized,3,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0,,,,,,,,64,64,,,,,INT7,fpgadataflow,1,4096,,,,,BINARY,,internal_decoupled,0,[1],,MVAU_hls,BINARY,,0,BINARY,1,1,block,dsp,,,4096,316,286,1.0,0
