model_id,session,timestamp,run_name,run_number,is_baseline,fixed_ram_style,fixed_resType,Submodule Instance,base_name,isRTL,isHLS,layer_idx,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,Padding,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depth_trigger_bram,depth_trigger_uram,depthwise,inWidth,inputDataType,is1D,mem_mode,noActivation,numInputVectors,numSteps,op_type,outputDataType,parallel_window,runtime_writeable_weights,weightDataType,PE,SIMD,ram_style,resType,depth,impl_style,estimated_cycles,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run1_baseline_folded,1,1,block,dsp,MVAU_hls_0,MVAU,0,1,0,0.0,,,,,,,,16,36,,,,,INT13,fpgadataflow,0,147456.0,,,,,UINT8,,internal_decoupled,0.0,"[1, 16, 16]",,MVAU_hls,UINT2,,0.0,INT2,1,1,block,dsp,,,147456.0,411,530,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run1_baseline_folded,1,1,block,dsp,MVAU_hls_1,MVAU,0,1,1,0.0,,,,,,,,8,144,,,,,INT9,fpgadataflow,0,73728.0,,,,,UINT2,,internal_decoupled,0.0,"[1, 8, 8]",,MVAU_hls,UINT2,,0.0,INT2,1,1,block,dsp,,,73728.0,727,520,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run1_baseline_folded,1,1,block,dsp,MVAU_hls_2,MVAU,0,1,2,0.0,,,,,,,,16,72,,,,,INT8,fpgadataflow,0,18432.0,,,,,UINT2,,internal_decoupled,0.0,"[1, 4, 4]",,MVAU_hls,UINT2,,0.0,INT2,1,1,block,dsp,,,18432.0,505,371,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run1_baseline_folded,1,1,block,dsp,MVAU_hls_3,MVAU,0,1,3,0.0,,,,,,,,8,144,,,,,INT9,fpgadataflow,0,4608.0,,,,,UINT2,,internal_decoupled,0.0,"[1, 2, 2]",,MVAU_hls,UINT2,,0.0,INT2,1,1,block,dsp,,,4608.0,780,516,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run1_baseline_folded,1,1,block,dsp,MVAU_hls_4,MVAU,0,1,4,0.0,,,,,,,,6,32,,,,,INT7,fpgadataflow,0,192.0,,,,,UINT2,,internal_decoupled,1.0,[1],,MVAU_hls,INT7,,0.0,INT2,1,1,block,dsp,,,192.0,322,267,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run2_optimized,2,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0.0,,,,,,,,16,36,,,,,INT13,fpgadataflow,0,73728.0,,,,,UINT8,,internal_decoupled,0.0,"[1, 16, 16]",,MVAU_hls,UINT2,,0.0,INT2,1,2,block,dsp,,,73728.0,405,553,0.5,2
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run2_optimized,2,0,block,dsp,MVAU_hls_1,MVAU,0,1,1,0.0,,,,,,,,8,144,,,,,INT9,fpgadataflow,0,73728.0,,,,,UINT2,,internal_decoupled,0.0,"[1, 8, 8]",,MVAU_hls,UINT2,,0.0,INT2,1,1,block,dsp,,,73728.0,727,520,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run2_optimized,2,0,block,dsp,MVAU_hls_2,MVAU,0,1,2,0.0,,,,,,,,16,72,,,,,INT8,fpgadataflow,0,18432.0,,,,,UINT2,,internal_decoupled,0.0,"[1, 4, 4]",,MVAU_hls,UINT2,,0.0,INT2,1,1,block,dsp,,,18432.0,505,371,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run2_optimized,2,0,block,dsp,MVAU_hls_3,MVAU,0,1,3,0.0,,,,,,,,8,144,,,,,INT9,fpgadataflow,0,4608.0,,,,,UINT2,,internal_decoupled,0.0,"[1, 2, 2]",,MVAU_hls,UINT2,,0.0,INT2,1,1,block,dsp,,,4608.0,780,516,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run2_optimized,2,0,block,dsp,MVAU_hls_4,MVAU,0,1,4,0.0,,,,,,,,6,32,,,,,INT7,fpgadataflow,0,192.0,,,,,UINT2,,internal_decoupled,1.0,[1],,MVAU_hls,INT7,,0.0,INT2,1,1,block,dsp,,,192.0,322,267,0.5,1
SAT6_T2W2,SAT6_T2W2_2026-04-02_15-14-59,2026-04-02_15-14-59,run3_optimized,3,0,block,dsp,MVAU_hls_0,MVAU,0,1,0,0.0,,,,,,,,16,36,,,,,INT13,fpgadataflow,0,49152.0,,,,,UINT8,,internal_decoupled,0.0,"[1, 16, 16]",,MVAU_hls,UINT2,,0.0,INT2,1,3,block,dsp,,,49152.0,403,568,0.5,3
