ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),K,Labels,Output Feature Map Dim (dimensions flattened),Padding,Stride (dimensions flattened),cycles_estimate,inWidth,inputDataType (bits),numInputVectors,outputDataType (bits),parallel_window,PE,SIMD,isRam_styleDistributed,resType,depth,impl_style,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
9,1,4,1156,,,256,,4,9500,,8,,8,0,,1,1,,,,257,100,0.0,0
9,1,16,324,,,64,,4,9840,,2,,2,0,,1,1,,,,237,98,0.0,0
9,1,8,100,,,16,,4,1336,,2,,2,0,,1,1,,,,161,81,0.0,0
9,1,16,36,,,4,,4,816,,2,,2,0,,1,1,,,,172,81,0.0,0
9,1,16,324,,,64,,4,4920,,2,,2,0,,2,1,,,,209,93,0.0,0
9,1,4,1156,,,256,,4,4750,,8,,8,0,,2,1,,,,242,100,0.0,0
9,1,16,324,,,64,,4,2460,,2,,2,0,,4,1,,,,199,90,0.0,0
9,1,4,1156,,,256,,4,2375,,8,,8,0,,4,1,,,,245,108,0.0,0
9,1,16,324,,,64,,4,1230,,2,,2,0,,8,1,,,,187,90,0.0,0
9,1,4,1156,,,256,,4,1158,,8,,8,1,,4,1,,,,141,414,0.0,0
9,1,8,100,,,16,,4,668,,2,,2,0,,2,1,,,,152,76,0.0,0
9,1,16,324,,,64,,4,615,,2,,2,0,,16,1,,,,173,98,0.0,0
9,1,16,324,,,64,,4,9840,,4,,4,0,,1,1,,,,277,100,0.0,0
9,1,8,100,,,16,,4,1336,,4,,4,0,,1,1,,,,170,83,0.0,0
9,1,16,36,,,4,,4,816,,4,,4,0,,1,1,,,,176,83,0.0,0
9,1,16,324,,,64,,4,4920,,4,,4,0,,2,1,,,,254,97,0.0,0
9,1,16,324,,,64,,4,2460,,4,,4,0,,4,1,,,,238,98,0.0,0
9,1,16,324,,,64,,4,1230,,4,,4,0,,8,1,,,,239,106,0.0,0
9,1,8,100,,,16,,4,668,,4,,4,0,,2,1,,,,166,80,0.0,0
9,1,16,324,,,64,,4,615,,4,,4,0,,16,1,,,,215,130,0.0,0
9,1,16,324,,,64,,4,9840,,8,,8,0,,1,1,,,,366,104,0.0,0
9,1,8,100,,,16,,4,1336,,8,,8,0,,1,1,,,,192,87,0.0,0
9,1,16,36,,,4,,4,816,,8,,8,0,,1,1,,,,205,87,0.0,0
9,1,16,324,,,64,,4,4920,,8,,8,0,,2,1,,,,330,105,0.0,0
9,1,16,324,,,64,,4,2460,,8,,8,0,,4,1,,,,320,114,0.0,0
9,1,16,324,,,64,,4,1230,,8,,8,0,,8,1,,,,339,138,0.0,0
9,1,8,100,,,16,,4,668,,8,,8,0,,2,1,,,,190,88,0.0,0
9,1,16,324,,,64,,4,615,,8,,8,0,,16,1,,,,301,194,0.0,0
