ConvKernelDim,Dilation,ImgDim (dimensions flattened),K,Labels,NumChannels,Padding (dimensions flattened),Stride,cycles_estimate,inWidth,inputDataType (bits),numInputVectors,PE,SIMD,ram_style,resType,depth,impl_style,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
,,1024,,,4,1,,4624,,8,,,1,,,,,51,83,0.0,0
,,256,,,16,1,,5184,,2,,,1,,,,,47,76,0.0,0
,,64,,,8,1,,800,,2,,,1,,,,,41,66,0.0,0
,,16,,,16,1,,576,,2,,,1,,,,,47,58,0.0,0
,,256,,,16,1,,2592,,2,,,2,,,,,46,75,0.0,0
,,1024,,,4,1,,2312,,8,,,2,,,,,65,97,0.0,0
,,256,,,16,1,,1296,,2,,,4,,,,,45,74,0.0,0
,,1024,,,4,1,,1156,,8,,,4,,,,,64,129,0.0,0
,,256,,,16,1,,648,,2,,,8,,,,,48,88,0.0,0
,,256,,,16,1,,5184,,4,,,1,,,,,47,76,0.0,0
,,64,,,8,1,,800,,4,,,1,,,,,41,66,0.0,0
,,16,,,16,1,,576,,4,,,1,,,,,47,58,0.0,0
,,256,,,16,1,,2592,,4,,,2,,,,,46,75,0.0,0
,,256,,,16,1,,1296,,4,,,4,,,,,49,90,0.0,0
,,256,,,16,1,,648,,4,,,8,,,,,56,120,0.0,0
,,256,,,16,1,,5184,,8,,,1,,,,,47,76,0.0,0
,,64,,,8,1,,800,,8,,,1,,,,,41,66,0.0,0
,,16,,,16,1,,576,,8,,,1,,,,,47,58,0.0,0
,,256,,,16,1,,2592,,8,,,2,,,,,50,91,0.0,0
,,256,,,16,1,,1296,,8,,,4,,,,,57,122,0.0,0
,,256,,,16,1,,648,,8,,,8,,,,,72,184,0.0,0
