isRTL,ActVal,ConvKernelDim,Dilation,K,Labels,MH,MW,Padding,Stride,accDataType (bits),binaryXnorMode,cycles_estimate,inWidth,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeMvauhls,isOp_typeMvaurtl,outputDataType (bits),weightDataType (bits),PE,SIMD,isRam_styleBlock,isRam_styleDistributed,isResTypeDsp,isResTypeLut,depth,impl_style,estimated_cycles,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
0,0,,,,,64,784,,,10,1,50176,,,0,1,1,0,,,1,1,1,0,1,0,,,50176,1428,1059,16.0,0
0,0,,,,,64,64,,,7,1,4096,,,0,1,1,0,,,1,1,1,0,1,0,,,4096,316,286,1.0,0
0,0,,,,,10,64,,,7,1,640,,,1,1,1,0,7.0,,1,1,1,0,1,0,,,640,331,268,0.5,0
0,0,,,,,64,784,,,10,1,25088,,,0,1,1,0,,,1,2,1,0,1,0,,,25088,1436,1051,8.0,0
0,0,,,,,64,784,,,10,1,12544,,,0,1,1,0,,,1,4,1,0,1,0,,,12544,721,1040,4.0,0
0,0,,,,,64,784,,,10,1,7168,,,0,1,1,0,,,1,7,1,0,1,0,,,7168,628,1051,2.0,0
0,0,,,,,64,784,,,10,1,6272,,,0,1,1,0,,,1,8,1,0,1,0,,,6272,620,1060,2.0,0
0,0,,,,,64,784,,,10,1,3584,,,0,1,1,0,,,1,14,1,0,1,0,,,3584,594,1104,2.0,0
0,0,,,,,64,64,,,7,1,2048,,,0,1,1,0,,,1,2,1,0,1,0,,,2048,322,277,0.5,0
0,0,,,,,64,784,,,10,1,3136,,,0,1,1,0,,,1,16,1,0,1,0,,,3136,575,1136,2.0,0
0,0,,,,,64,784,,,10,1,1792,,,0,1,1,0,,,1,28,1,0,1,0,,,1792,647,1248,2.0,0
0,0,,,,,64,64,,,7,1,1024,,,0,1,1,0,,,1,4,1,0,1,0,,,1024,281,290,0.5,0
0,0,,,,,64,784,,,10,1,1024,,,0,1,1,0,,,1,49,1,0,1,0,,,1024,606,1396,2.0,0
0,0,,,,,64,784,,,10,1,896,,,0,1,1,0,,,1,56,1,0,1,0,,,896,744,1439,2.0,0
0,0,,,,,64,64,,,7,1,512,,,0,1,1,0,,,1,8,1,0,1,0,,,512,276,306,0.5,0
0,0,,,,,64,784,,,10,1,512,,,0,1,1,0,,,1,98,1,0,1,0,,,512,795,1682,1.5,0
0,0,,,,,10,64,,,7,1,320,,,1,1,1,0,7.0,,1,2,1,0,1,0,,,320,304,263,0.5,0
0,0,,,,,64,784,,,10,1,448,,,0,1,1,0,,,1,112,1,0,1,0,,,448,830,1770,2.0,0
0,0,,,,,64,64,,,7,1,256,,,0,1,1,0,,,1,16,1,0,1,0,,,256,316,384,0.5,0
0,0,,,,,64,784,,,10,1,256,,,0,1,1,0,,,1,196,1,0,1,0,,,256,1277,2330,3.0,0
0,0,,,,,10,64,,,7,1,160,,,1,1,1,0,7.0,,1,4,1,0,1,0,,,160,265,272,0.5,0
0,0,,,,,64,784,,,10,1,128,,,0,1,1,0,,,1,392,1,0,1,0,,,128,1687,3673,5.5,0
0,0,,,,,64,64,,,7,1,128,,,0,1,1,0,,,1,32,1,0,1,0,,,128,359,487,0.5,0
0,0,,,,,10,64,,,7,1,80,,,1,1,1,0,7.0,,1,8,1,0,1,0,,,80,261,298,0.5,0
0,0,,,,,64,784,,,10,1,64,,,0,1,1,0,,,1,784,1,0,1,0,,,64,2473,6821,11.0,0
0,0,,,,,64,64,,,7,1,64,,,0,1,1,0,,,1,64,1,0,1,0,,,64,338,682,1.0,0
0,0,,,,,10,64,,,7,1,40,,,1,1,1,0,7.0,,1,16,1,0,1,0,,,40,296,370,0.5,0
0,0,,,,,64,784,,,10,1,32,,,0,1,1,0,,,2,784,1,0,1,0,,,32,4567,11239,22.0,0
0,0,,,,,64,64,,,7,1,32,,,0,1,1,0,,,2,64,1,0,1,0,,,32,494,1026,2.0,0
0,0,,,,,10,64,,,7,1,20,,,1,1,1,0,7.0,,1,32,1,0,1,0,,,20,337,479,0.5,0
0,0,,,,,64,784,,,10,1,16,,,0,1,1,0,,,4,784,1,0,1,0,,,16,8348,19868,44.0,0
0,0,,,,,64,64,,,7,1,16,,,0,1,1,0,,,4,64,1,0,1,0,,,16,808,1722,4.0,0
0,0,,,,,64,64,,,7,1,16,,,0,1,1,0,,,4,64,1,0,1,0,,,16,807,1719,4.0,0
0,0,,,,,10,64,,,7,1,10,,,1,1,1,0,7.0,,1,64,1,0,1,0,,,10,337,672,1.0,0
0,0,,,,,64,784,,,10,1,8,,,0,1,1,0,,,8,784,1,0,1,0,,,8,16341,37104,87.5,0
0,0,,,,,64,64,,,7,1,8,,,0,1,1,0,,,8,64,1,0,1,0,,,8,1417,3112,7.5,0
0,0,,,,,64,64,,,7,1,8,,,0,1,1,0,,,8,64,1,0,1,0,,,8,1413,3106,7.5,0
0,0,,,,,64,784,,,10,1,50176,,,0,1,1,0,,,1,1,0,1,1,0,,,50176,8724,1487,0.0,0
0,0,,,,,64,64,,,7,1,4096,,,0,1,1,0,,,1,1,0,1,1,0,,,4096,892,310,0.0,0
0,0,,,,,10,64,,,7,1,640,,,1,1,1,0,7.0,,1,1,0,1,1,0,,,640,422,276,0.0,0
0,0,,,,,64,784,,,10,1,25088,,,0,1,1,0,,,1,2,0,1,1,0,,,25088,5082,1252,0.0,0
0,0,,,,,64,784,,,10,1,12544,,,0,1,1,0,,,1,4,0,1,1,0,,,12544,2511,1104,0.0,0
0,0,,,,,64,784,,,10,1,7168,,,0,1,1,0,,,1,7,0,1,1,0,,,7168,1674,1115,0.0,0
0,0,,,,,64,784,,,10,1,6272,,,0,1,1,0,,,1,8,0,1,1,0,,,6272,1544,1117,0.0,0
0,0,,,,,64,784,,,10,1,3584,,,0,1,1,0,,,1,14,0,1,1,0,,,3584,1609,1144,0.0,0
0,0,,,,,64,64,,,7,1,2048,,,0,1,1,0,,,1,2,0,1,1,0,,,2048,610,293,0.0,0
0,0,,,,,64,784,,,10,1,3136,,,0,1,1,0,,,1,16,0,1,1,0,,,3136,1457,1170,0.0,0
0,0,,,,,64,784,,,10,1,1792,,,0,1,1,0,,,1,28,0,1,1,0,,,1792,1647,1312,0.0,0
0,0,,,,,64,64,,,7,1,1024,,,0,1,1,0,,,1,4,0,1,1,0,,,1024,421,298,0.0,0
0,0,,,,,64,784,,,10,1,1024,,,0,1,1,0,,,1,49,0,1,1,0,,,1024,1594,1484,0.0,0
0,0,,,,,64,784,,,10,1,896,,,0,1,1,0,,,1,56,0,1,1,0,,,896,1674,1523,0.0,0
0,0,,,,,64,64,,,7,1,512,,,0,1,1,0,,,1,8,0,1,1,0,,,512,346,314,0.0,0
0,0,,,,,64,784,,,10,1,512,,,0,1,1,0,,,1,98,0,1,1,0,,,512,1720,1818,0.0,0
0,0,,,,,10,64,,,7,1,320,,,1,1,1,0,7.0,,1,2,0,1,1,0,,,320,354,271,0.0,0
0,0,,,,,64,784,,,10,1,448,,,0,1,1,0,,,1,112,0,1,1,0,,,448,1757,1906,0.0,0
0,0,,,,,64,64,,,7,1,256,,,0,1,1,0,,,1,16,0,1,1,0,,,256,381,400,0.0,0
0,0,,,,,64,784,,,10,1,256,,,0,1,1,0,,,1,196,0,1,1,0,,,256,2117,2562,0.0,0
0,0,,,,,10,64,,,7,1,160,,,1,1,1,0,7.0,,1,4,0,1,1,0,,,160,302,280,0.0,0
0,0,,,,,64,784,,,10,1,128,,,0,1,1,0,,,1,392,0,1,1,0,,,128,2518,4103,0.0,0
0,0,,,,,64,64,,,7,1,128,,,0,1,1,0,,,1,32,0,1,1,0,,,128,424,519,0.0,0
0,0,,,,,10,64,,,7,1,80,,,1,1,1,0,7.0,,1,8,0,1,1,0,,,80,288,306,0.0,0
0,0,,,,,64,784,,,10,1,64,,,0,1,1,0,,,1,784,0,1,1,0,,,64,3293,7631,0.0,0
0,0,,,,,64,64,,,7,1,64,,,0,1,1,0,,,1,64,0,1,1,0,,,64,405,746,0.0,0
0,0,,,,,10,64,,,7,1,40,,,1,1,1,0,7.0,,1,16,0,1,1,0,,,40,347,386,0.0,0
0,0,,,,,64,784,,,10,1,32,,,0,1,1,0,,,2,784,0,1,1,0,,,32,6086,12747,0.0,0
0,0,,,,,64,64,,,7,1,32,,,0,1,1,0,,,2,64,0,1,1,0,,,32,623,1154,0.0,0
0,0,,,,,10,64,,,7,1,20,,,1,1,1,0,7.0,,1,32,0,1,1,0,,,20,418,511,0.0,0
0,0,,,,,64,784,,,10,1,16,,,0,1,1,0,,,4,784,0,1,1,0,,,16,11464,22952,0.0,0
0,0,,,,,64,64,,,7,1,16,,,0,1,1,0,,,4,64,0,1,1,0,,,16,1071,1982,0.0,0
0,0,,,,,64,64,,,7,1,16,,,0,1,1,0,,,4,64,0,1,1,0,,,16,1070,1979,0.0,0
0,0,,,,,10,64,,,7,1,10,,,1,1,1,0,7.0,,1,64,0,1,1,0,,,10,402,736,0.0,0
0,0,,,,,64,784,,,10,1,8,,,0,1,1,0,,,8,784,0,1,1,0,,,8,22349,43112,0.0,0
0,0,,,,,64,64,,,7,1,8,,,0,1,1,0,,,8,64,0,1,1,0,,,8,1942,3633,0.0,0
0,0,,,,,64,64,,,7,1,8,,,0,1,1,0,,,8,64,0,1,1,0,,,8,1938,3627,0.0,0
0,0,,,,,64,784,,,10,1,50176,,,0,1,1,0,,,1,1,1,0,0,1,,,50176,1428,1059,16.0,0
0,0,,,,,64,64,,,7,1,4096,,,0,1,1,0,,,1,1,1,0,0,1,,,4096,316,286,1.0,0
0,0,,,,,10,64,,,7,1,640,,,1,1,1,0,7.0,,1,1,1,0,0,1,,,640,331,268,0.5,0
0,0,,,,,64,784,,,10,1,25088,,,0,1,1,0,,,1,2,1,0,0,1,,,25088,1436,1051,8.0,0
0,0,,,,,64,784,,,10,1,12544,,,0,1,1,0,,,1,4,1,0,0,1,,,12544,721,1040,4.0,0
0,0,,,,,64,784,,,10,1,7168,,,0,1,1,0,,,1,7,1,0,0,1,,,7168,628,1051,2.0,0
0,0,,,,,64,784,,,10,1,6272,,,0,1,1,0,,,1,8,1,0,0,1,,,6272,620,1060,2.0,0
0,0,,,,,64,784,,,10,1,3584,,,0,1,1,0,,,1,14,1,0,0,1,,,3584,594,1104,2.0,0
0,0,,,,,64,64,,,7,1,2048,,,0,1,1,0,,,1,2,1,0,0,1,,,2048,322,277,0.5,0
0,0,,,,,64,784,,,10,1,3136,,,0,1,1,0,,,1,16,1,0,0,1,,,3136,575,1136,2.0,0
0,0,,,,,64,784,,,10,1,1792,,,0,1,1,0,,,1,28,1,0,0,1,,,1792,647,1248,2.0,0
0,0,,,,,64,64,,,7,1,1024,,,0,1,1,0,,,1,4,1,0,0,1,,,1024,281,290,0.5,0
0,0,,,,,64,784,,,10,1,1024,,,0,1,1,0,,,1,49,1,0,0,1,,,1024,606,1396,2.0,0
0,0,,,,,64,784,,,10,1,896,,,0,1,1,0,,,1,56,1,0,0,1,,,896,744,1439,2.0,0
0,0,,,,,64,64,,,7,1,512,,,0,1,1,0,,,1,8,1,0,0,1,,,512,276,306,0.5,0
0,0,,,,,64,784,,,10,1,512,,,0,1,1,0,,,1,98,1,0,0,1,,,512,795,1682,1.5,0
0,0,,,,,10,64,,,7,1,320,,,1,1,1,0,7.0,,1,2,1,0,0,1,,,320,304,263,0.5,0
0,0,,,,,64,784,,,10,1,448,,,0,1,1,0,,,1,112,1,0,0,1,,,448,830,1770,2.0,0
0,0,,,,,64,64,,,7,1,256,,,0,1,1,0,,,1,16,1,0,0,1,,,256,316,384,0.5,0
