isRTL,ConvKernelDim,Dilation,K,Labels,Padding,Stride,inWidth,numInputVectors,PE,ram_style,resType,depth,impl_style,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
1,,,,,,,,,,,,,,5,6,0.0,0
1,,,,,,,,,,,,,,6,9,0.0,0
1,,,,,,,,,,,,,,8,13,0.0,0
1,,,,,,,,,,,,,,7,14,0.0,0
1,,,,,,,,,,,,,,9,21,0.0,0
1,,,,,,,,,,,,,,9,23,0.0,0
1,,,,,,,,,,,,,,11,36,0.0,0
1,,,,,,,,,,,,,,14,58,0.0,0
1,,,,,,,,,,,,,,13,65,0.0,0
1,,,,,,,,,,,,,,12,108,0.0,0
1,,,,,,,,,,,,,,14,108,0.0,0
1,,,,,,,,,,,,,,13,122,0.0,0
1,,,,,,,,,,,,,,12,207,0.0,0
1,,,,,,,,,,,,,,15,208,0.0,0
1,,,,,,,,,,,,,,13,405,0.0,0
1,,,,,,,,,,,,,,11,40,0.0,0
1,,,,,,,,,,,,,,16,407,0.0,0
1,,,,,,,,,,,,,,16,800,0.0,0
1,,,,,,,,,,,,,,10,73,0.0,0
1,,,,,,,,,,,,,,15,801,0.0,0
1,,,,,,,,,,,,,,19,806,0.0,0
1,,,,,,,,,,,,,,11,73,0.0,0
1,,,,,,,,,,,,,,7,23,0.0,0
1,,,,,,,,,,,,,,21,808,0.0,0
1,,,,,,,,,,,,,,24,819,0.0,0
1,,,,,,,,,,,,,,9,40,0.0,0
1,,,,,,,,,,,,,,10,74,0.0,0
1,,,,,,,,,,,,,,8,41,0.0,0
1,,,,,,,,,,,,,,35,839,0.0,0
1,,,,,,,,,,,,,,38,846,0.0,0
1,,,,,,,,,,,,,,10,77,0.0,0
1,,,,,,,,,,,,,,5,9,0.0,0
1,,,,,,,,,,,,,,6,14,0.0,0
1,,,,,,,,,,,,,,8,21,0.0,0
1,,,,,,,,,,,,,,9,36,0.0,0
1,,,,,,,,,,,,,,11,65,0.0,0
1,,,,,,,,,,,,,,14,236,0.0,0
1,,,,,,,,,,,,,,17,408,0.0,0
1,,,,,,,,,,,,,,20,1591,0.0,0
1,,,,,,,,,,,,,,11,138,0.0,0
1,,,,,,,,,,,,,,19,1593,0.0,0
1,,,,,,,,,,,,,,26,1604,0.0,0
1,,,,,,,,,,,,,,11,139,0.0,0
1,,,,,,,,,,,,,,29,1608,0.0,0
1,,,,,,,,,,,,,,38,1631,0.0,0
1,,,,,,,,,,,,,,14,142,0.0,0
1,,,,,,,,,,,,,,59,1672,0.0,0
1,,,,,,,,,,,,,,8,27,0.0,0
1,,,,,,,,,,,,,,10,36,0.0,0
1,,,,,,,,,,,,,,9,44,0.0,0
1,,,,,,,,,,,,,,10,61,0.0,0
1,,,,,,,,,,,,,,7,12,0.0,0
1,,,,,,,,,,,,,,13,86,0.0,0
1,,,,,,,,,,,,,,7,19,0.0,0
1,,,,,,,,,,,,,,12,110,0.0,0
1,,,,,,,,,,,,,,14,159,0.0,0
1,,,,,,,,,,,,,,7,24,0.0,0
1,,,,,,,,,,,,,,18,166,0.0,0
0,,,,,,,,,,,,,,256,283,0.0,0
1,,,,,,,,,,,,,,18,311,0.0,0
1,,,,,,,,,,,,,,8,33,0.0,0
1,,,,,,,,,,,,,,6,15,0.0,0
1,,,,,,,,,,,,,,26,326,0.0,0
1,,,,,,,,,,,,,,12,51,0.0,0
0,,,,,,,,,,,,,,313,451,0.0,0
0,,,,,,,,,,,,,,379,789,0.0,0
1,,,,,,,,,,,,,,10,26,0.0,0
1,,,,,,,,,,,,,,14,117,0.0,0
1,,,,,,,,,,,,,,9,32,0.0,0
1,,,,,,,,,,,,,,11,45,0.0,0
1,,,,,,,,,,,,,,11,46,0.0,0
0,,,,,,,,,,,,,,673,1469,0.0,0
1,,,,,,,,,,,,,,8,20,0.0,0
0,,,,,,,,,,,,,,317,453,0.0,0
1,,,,,,,,,,,,,,13,84,0.0,0
0,,,,,,,,,,,,,,435,791,0.0,0
0,,,,,,,,,,,,,,677,1471,0.0,0
1,,,,,,,,,,,,,,23,229,0.0,0
1,,,,,,,,,,,,,,10,58,0.0,0
1,,,,,,,,,,,,,,12,83,0.0,0
0,,,,,,,,,,,,,,1163,2834,0.0,0
1,,,,,,,,,,,,,,20,99,0.0,0
0,,,,,,,,,,,,,,439,793,0.0,0
1,,,,,,,,,,,,,,14,149,0.0,0
1,,,,,,,,,,,,,,21,164,0.0,0
0,,,,,,,,,,,,,,680,1473,0.0,0
0,,,,,,,,,,,,,,1163,2836,0.0,0
1,,,,,,,,,,,,,,39,453,0.0,0
1,,,,,,,,,,,,,,42,646,0.0,0
0,,,,,,,,,,,,,,1852,5562,0.0,0
1,,,,,,,,,,,,,,36,195,0.0,0
