ConvKernelDim,Dilation,K,Labels,Padding,Stride,inWidth,numInputVectors,PE,isRam_styleAuto,resType,isImpl_styleRtl,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks,depth
,,,,,,,,,1,,0,49,53,0.5,0,2.0
,,,,,,,,,1,,0,127,30,0.0,0,2.0
,,,,,,,,,1,,0,45,22,0.0,0,2.0
,,,,,,1.0,,,1,,1,55,24,0.0,0,32.0
,,,,,,1.0,,,1,,1,15,22,0.0,0,2.0
,,,,,,7.0,,,1,,1,15,22,0.0,0,2.0
,,,,,,8.0,,,1,,1,15,22,0.0,0,2.0
,,,,,,,,,1,,0,107,29,0.0,0,2.0
,,,,,,,,,1,,1,122,29,0.0,0,196.0
,,,,,,,,,1,,1,83,27,0.0,0,112.0
,,,,,,1.0,,,1,,1,54,25,0.0,0,33.0
,,,,,,,,,1,,1,83,27,0.0,0,98.0
,,,,,,1.0,,,1,,1,62,25,0.0,0,39.0
,,,,,,,,,1,,1,84,33,0.0,0,56.0
,,,,,,1.0,,,1,,1,64,26,0.0,0,64.0
,,,,,,1.0,,,1,,1,62,25,0.0,0,61.0
,,,,,,,,,1,,1,55,24,0.0,0,32.0
,,,,,,,,,1,,1,86,33,0.0,0,49.0
,,,,,,,,,1,,1,98,48,0.0,0,32.0
,,,,,,1.0,,,1,,1,60,25,0.0,0,54.0
,,,,,,,,,1,,1,15,22,0.0,0,2.0
,,,,,,,,,1,,0,46,23,0.0,0,2.0
,,,,,,,,,1,,1,146,72,0.0,0,32.0
,,,,,,,,,1,,0,86,27,0.0,0,2.0
,,,,,,,,,1,,1,242,120,0.0,0,32.0
,,,,,,1.0,,,1,,1,60,25,0.0,0,36.0
,,,,,,,,,1,,1,192,37,0.0,0,217.0
,,,,,,1.0,,,1,,1,61,25,0.0,0,38.0
,,,,,,,,,1,,1,195,37,0.0,0,239.0
,,,,,,,,,1,,1,23,38,0.0,0,2.0
,,,,,,,,,1,,0,42,21,0.0,0,2.0
,,,,,,,,,1,,1,258,128,0.0,0,32.0
,,,,,,,,,1,,1,211,410,0.0,0,2.0
,,,,,,,,,1,,1,133,49,0.0,0,57.0
,,,,,,1.0,,,1,,1,122,29,0.0,0,196.0
,,,,,,,,,1,,1,445,227,0.0,0,32.0
,,,,,,,,,1,,1,39,70,0.0,0,2.0
,,,,,,,,,1,,1,407,798,0.0,0,2.0
,,,,,,,,,1,,1,63,118,0.0,0,2.0
,,,,,,,,,1,,1,805,1588,0.0,0,2.0
,,,,,,,,,1,,1,71,134,0.0,0,2.0
,,,,,,,,,1,,1,119,230,0.0,0,2.0
,,,,,,1.0,,,1,,1,23,38,0.0,0,2.0
