ActVal,ConvKernelDim,Dilation,K,Labels,Padding,Stride,cycles_estimate,inWidth,inputDataType (bits),numInputVectors (dimensions flattened),outputDataType (bits),weightDataType (bits),PE,ram_style,resType,depth,impl_style,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
0,,,,,,,784,,8,1,,9,1,,,,,13,13,0.0,0
0,,,,,,,392,,8,1,,9,2,,,,,14,16,0.0,0
0,,,,,,,196,,8,1,,9,4,,,,,16,22,0.0,0
0,,,,,,,112,,8,1,,9,7,,,,,19,31,0.0,0
0,,,,,,,98,,8,1,,9,8,,,,,20,34,0.0,0
0,,,,,,,56,,8,1,,9,14,,,,,26,52,0.0,0
0,,,,,,,49,,8,1,,9,16,,,,,28,58,0.0,0
0,,,,,,,28,,8,1,,9,28,,,,,40,94,0.0,0
0,,,,,,,16,,8,1,,9,49,,,,,61,157,0.0,0
0,,,,,,,14,,8,1,,9,56,,,,,68,178,0.0,0
-1,,,,,,,784,,8,1,2.0,9,1,,,,,21,43,0.0,0
-1,,,,,,,392,,8,1,2.0,9,2,,,,,29,73,0.0,0
-1,,,,,,,196,,8,1,2.0,9,4,,,,,45,133,0.0,0
-1,,,,,,,112,,8,1,2.0,9,7,,,,,69,223,0.0,0
-1,,,,,,,98,,8,1,2.0,9,8,,,,,77,253,0.0,0
-1,,,,,,,56,,8,1,2.0,9,14,,,,,125,433,0.0,0
-1,,,,,,,49,,8,1,2.0,9,16,,,,,141,493,0.0,0
-1,,,,,,,28,,8,1,2.0,9,28,,,,,237,853,0.0,0
-1,,,,,,,16,,8,1,2.0,9,49,,,,,405,1483,0.0,0
