Hardware config,Submodule Instance,isRTL,isHLS,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,PE,Padding,SIMD,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depthwise,inputDataType,is1D,mem_mode,noActivation,numInputVectors,op_type,outputDataType,parallel_window,ram_style,resType,runtime_writeable_weights,weightDataType,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_0,1,0,,,,,,"[32, 32]",,,,,4,,,"[1, 1, 1, 1]",2,,,fpgadataflow,,2312,,UINT8,,,,,FMPadding_rtl,,,,,,,65,97,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_1,1,0,,,,,,"[16, 16]",,,,,16,,,"[1, 1, 1, 1]",2,,,fpgadataflow,,2592,,UINT8,,,,,FMPadding_rtl,,,,,,,50,91,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_2,1,0,,,,,,"[8, 8]",,,,,8,,,"[1, 1, 1, 1]",1,,,fpgadataflow,,800,,UINT8,,,,,FMPadding_rtl,,,,,,,41,66,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_3,1,0,,,,,,"[4, 4]",,,,,16,,,"[1, 1, 1, 1]",1,,,fpgadataflow,,576,,UINT8,,,,,FMPadding_rtl,,,,,,,47,58,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_0,1,0,,,,,,"[32, 32]",,,,,4,,,"[1, 1, 1, 1]",1,,,fpgadataflow,,4624,,UINT8,,,,,FMPadding_rtl,,,,,,,51,83,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_1,1,0,,,,,,"[16, 16]",,,,,16,,,"[1, 1, 1, 1]",2,,,fpgadataflow,,2592,,UINT2,,,,,FMPadding_rtl,,,,,,,46,75,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_2,1,0,,,,,,"[8, 8]",,,,,8,,,"[1, 1, 1, 1]",1,,,fpgadataflow,,800,,UINT2,,,,,FMPadding_rtl,,,,,,,41,66,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_3,1,0,,,,,,"[4, 4]",,,,,16,,,"[1, 1, 1, 1]",1,,,fpgadataflow,,576,,UINT2,,,,,FMPadding_rtl,,,,,,,47,58,0.0,0
builds_t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_0,1,0,,,,,,"[32, 32]",,,,,4,,,"[1, 1, 1, 1]",1,,,fpgadataflow,,4624,,UINT8,,,,,FMPadding_rtl,,,,,,,51,83,0.0,0
builds_t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_1,1,0,,,,,,"[16, 16]",,,,,16,,,"[1, 1, 1, 1]",2,,,fpgadataflow,,2592,,UINT2,,,,,FMPadding_rtl,,,,,,,46,75,0.0,0
