fold,R2_Total_LUT,RMSE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks
1,0.8187751509038548,0.09868054836988449,0.6398808947022487,0.24002988636493683,1.0,0.0,1.0,0.0
2,0.7914552000848172,0.10338049381971359,0.605680213338026,0.2514340281486511,1.0,0.0,1.0,0.0
3,0.8460728651327457,0.08439737558364868,0.6281792147611331,0.20525051653385162,1.0,0.0,1.0,0.0
4,0.8344188942210707,0.09526243805885315,0.6335305902956567,0.23336830735206604,1.0,0.0,1.0,0.0
5,0.8609891504450938,0.08488813042640686,0.6362113360689445,0.20644794404506683,1.0,0.0,1.0,0.0
6,0.7644075785656022,0.10343457013368607,0.6631687528641852,0.2516249120235443,1.0,0.0,1.0,0.0
7,0.8526168689793856,0.07923588156700134,0.6742481081420449,0.19248008728027344,1.0,0.0,1.0,0.0
8,0.8771049305263087,0.08413393795490265,0.7068986166636004,0.2043529897928238,1.0,0.0,1.0,0.0
9,0.7356462510868738,0.10523226857185364,0.5305219114407548,0.25594931840896606,1.0,0.0,1.0,0.0
10,0.7444992682691209,0.12749545276165009,0.5760622395075525,0.31001967191696167,1.0,0.0,1.0,0.0
