fold,R2_Total_LUT,RMSE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks
1,0.9915203216458449,0.01175988744944334,0.9838615198296154,0.02663726732134819,1.0,0.0,1.0,0.0
2,0.9777222093036133,0.019543837755918503,0.9625282080506641,0.041945893317461014,1.0,0.0,1.0,0.0
3,0.9601596038415199,0.02449348196387291,0.9212447923290252,0.053430862724781036,1.0,0.0,1.0,0.0
4,0.900290432721304,0.04441928490996361,0.8652971182407535,0.0880328118801117,1.0,0.0,1.0,0.0
5,0.9319720210998662,0.03469715267419815,0.9124755161564613,0.06516363471746445,1.0,0.0,1.0,0.0
6,0.958199916654839,0.02829766273498535,0.9323080271900271,0.06037299335002899,1.0,0.0,1.0,0.0
7,0.9295248206061467,0.029381433501839638,0.8973178786717896,0.05997232720255852,1.0,0.0,1.0,0.0
8,0.8655083002632505,0.04867367818951607,0.8356151280569191,0.09693773835897446,1.0,0.0,1.0,0.0
9,0.9178091643190139,0.037292495369911194,0.8855466318033887,0.07732681185007095,1.0,0.0,1.0,0.0
10,0.943652039142302,0.03595792502164841,0.912619685502525,0.07372724264860153,1.0,0.0,1.0,0.0
