fold,R2_Total_LUT,RMSE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks
1,0.5527097306233602,0.1580408811569214,0.01983570778898569,0.11876075714826584,1.0,0.0,1.0,0.0
2,0.5481001156154237,0.16584785282611847,0.015428612750181592,0.13876500725746155,1.0,0.0,1.0,0.0
3,0.5117480485622032,0.19309186935424805,-0.08799827959137185,0.1643807590007782,1.0,0.0,1.0,0.0
4,0.5111989502686468,0.17863135039806366,-0.002165932711260643,0.13071709871292114,1.0,0.0,1.0,0.0
5,0.6243444677313956,0.17637643218040466,-0.02489285281462461,0.1426982581615448,1.0,0.0,1.0,0.0
6,0.5374947902288141,0.16007550060749054,0.010681639747944227,0.12417575716972351,1.0,0.0,1.0,0.0
7,0.599941699336686,0.16963723301887512,0.047097077607694215,0.12351027131080627,1.0,0.0,1.0,0.0
8,0.5247644278214976,0.16143687069416046,0.04796291699527666,0.10468950867652893,1.0,0.0,1.0,0.0
9,0.5226428225015374,0.1767595261335373,-0.033833029276598925,0.13565339148044586,1.0,0.0,1.0,0.0
10,0.5200220057562004,0.17699794471263885,-0.017741458684827238,0.12908804416656494,1.0,0.0,1.0,0.0
