feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
MH,8.153593e-06,0.0,8.701166e-07,0.0016205974
MW,0.008302674,0.0,0.0002865362,0.14667453
PE,0.07392603,0.0,0.24042591,0.20278692
SIMD,0.004378614,0.0,0.05074376,0.025802627
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
isRam_styleBlock,0.43028688,0.0,0.0021481763,0.030874953
isRam_styleDistributed,0.27971938,0.0,0.0017312088,0.017707702
isResTypeDsp,0.0034418837,0.0,3.7213853e-05,0.00024578793
isResTypeLut,4.2802207e-05,0.0,3.711324e-07,0.00022314447
mac_complexity,0.19987175,0.0,0.7046257,0.5715473
noActivation,2.1816037e-05,0.0,1.1651529e-07,0.0025164299
outputDataType (bits),1.5581099e-08,0.0,8.599693e-08,4.5887003e-08
