fold,R2_Total_LUT,RMSE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks
1,0.9999931112954141,0.0017207785276696086,0.9999925921429178,0.0023454385809600353,0.9999995259628226,0.00041629085899330676,1.0,0.0
2,0.9999989100588903,0.0009449237841181457,0.9999991660049311,0.0010671362979337573,0.999999921915972,0.00023311463883146644,1.0,0.0
3,0.9999969986980194,0.0018939797300845385,0.9996279369300514,0.026104113087058067,0.9922157618768838,0.0940384715795517,1.0,0.0
4,0.9999896921746243,0.0029186303727328777,0.9999994789341262,0.0007448807591572404,0.9999998904930638,0.00018628286488819867,1.0,0.0
5,0.9999937917286084,0.0023128483444452286,0.9999983693320285,0.0015258498024195433,0.9999999739116453,0.0001439471816411242,1.0,0.0
6,0.9986449203732373,0.030399220064282417,0.9999682921803749,0.006060534622520208,0.9999999394266181,0.000188464269740507,1.0,0.0
7,0.9969482713504175,0.05347003415226936,0.9998775331931373,0.014155876822769642,0.9880761598748976,0.0997319370508194,1.0,0.0
8,0.999997667576245,0.0016218788223341107,0.9999992985302656,0.0010827651713043451,0.9999996445080932,0.0004426589875947684,1.0,0.0
9,0.9999977458286746,0.0012647925177589059,0.999998892338126,0.0011039600940421224,0.9999999340775036,0.00012172020069556311,1.0,0.0
10,0.9999948934052565,0.0020542964339256287,0.9999991949619306,0.001062024850398302,0.9999999806578319,9.929898078553379e-05,1.0,0.0
