feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
MH,0.0003145708,0.0,9.325333e-05,0.002182822
MW,0.012644807,0.0,0.061653953,0.9335095
PE,0.0030528896,0.0,0.009692047,0.05213291
SIMD,0.06760912,0.0,0.010260685,0.008704984
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
inputDataType (bits),0.0,0.0,0.0,0.0
isRam_styleBlock,0.6040759,0.0,7.460997e-05,0.0034693724
isRam_styleDistributed,0.0,0.0,0.0,0.0
isResTypeDsp,0.0,0.0,4.924968e-07,4.7637506e-08
isResTypeLut,0.0,0.0,0.0,0.0
mac_complexity,0.31230274,0.0,0.91822493,1.6583436e-07
noActivation,0.0,0.0,0.0,0.0
outputDataType (bits),0.0,0.0,0.0,0.0
weightDataType (bits),0.0,0.0,0.0,0.0
