feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
ActVal,0.002579913,0.15686803,0.06373113,0.018185478
MH,0.0038524866,0.034426093,0.00014619752,0.0033252123
MW,0.07014644,0.0001126146,0.016103782,0.009514302
PE,0.2988561,0.05642759,0.38577688,0.15052177
SIMD,0.15577205,0.026691241,0.3444429,0.039700452
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
inputDataType (bits),1.9118772e-05,0.003560657,0.00039655395,0.00013287115
isHLS,0.005671473,0.082676165,0.01739607,0.05496707
isRTL,0.001940524,0.054334294,0.009423296,0.038378406
isRam_styleBlock,0.31791487,0.0018735044,0.000996659,0.0023151746
isRam_styleDistributed,0.104272746,1.635291e-05,0.0008601557,0.0011437709
isResTypeDsp,9.128051e-06,0.289237,0.046208188,0.0006879402
isResTypeLut,1.1442035e-07,0.18279606,0.032620184,0.0006115677
mac_complexity,0.036654368,0.08077137,0.06676548,0.4323874
noActivation,4.2093305e-08,0.0019206845,0.010003568,0.00040926636
numInputVectors,4.2598077e-07,0.021022892,6.135007e-06,0.002877679
outputDataType (bits),0.000901133,0.0050976747,0.0014925161,2.9456123e-05
weightDataType (bits),0.0014089391,0.0021677413,0.0036303084,0.24481218
