fold,R2_Total_LUT,RMSE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks
1,0.9998977109309364,0.005431196186691523,0.9999545095139979,0.004814264830201864,0.9999998740469525,0.00011859380174428225,0.9999999950296437,0.00010153571929549798
2,0.992945379615357,0.031932033598423004,0.9991798725837783,0.01645549200475216,0.9901036050142962,0.030634805560112,0.9999999934289475,9.59882527240552e-05
3,0.9991770199356903,0.015452293679118156,0.999682396909569,0.01314864307641983,0.9999998703792299,0.00013587188732344657,0.9999999904353294,9.481446613790467e-05
4,0.9958254085676185,0.02772882580757141,0.9998109102441212,0.008031127043068409,0.9999998892382292,9.90370026556775e-05,0.9999999833284323,0.00018497835844755173
5,0.9991102570445388,0.011185405775904655,0.9999660054555838,0.003348905360326171,0.9999999057821701,7.981330418260768e-05,0.9999999849487264,0.00015523601905442774
6,0.9994053208839424,0.013337887823581696,0.9999864958803212,0.0027465468738228083,0.9999998699841034,0.00013826109352521598,0.9999999892248034,0.00013430834223981947
7,0.9991666131962321,0.01710806041955948,0.9999116508110614,0.007363225799053907,0.9999998900815922,0.0001293235836783424,0.9999995685495473,0.0008880445384420455
8,0.9992265035631538,0.014499258249998093,0.999933441466495,0.005778269376605749,0.9999997230787134,0.00017120201664511114,0.9984039345133912,0.052282869815826416
9,0.9979413468646818,0.021386511623859406,0.999966546109132,0.003912990912795067,0.9999999246004321,8.845519187161699e-05,0.9999989460646256,0.0013909026747569442
10,0.9979364293882601,0.01845085620880127,0.9998537899761007,0.007652962114661932,0.9999999102012002,9.21388273127377e-05,0.9999999914724605,0.00012042371236020699
