feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
ActVal,0.0045753564,0.0026023113,0.0001428822,0.0035168931
MH,1.11284116e-07,3.03494e-07,0.007946162,0.07697164
MW,0.35217533,3.75258e-06,0.03329335,0.4104413
PE,0.076164976,0.000991775,0.014409022,0.04220046
SIMD,0.12732996,0.07929189,0.05580264,0.027916389
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
inputDataType (bits),0.0,6.705842e-06,0.01422831,0.0066874493
isHLS,0.0,0.0,0.0,0.0
isRTL,0.036039006,0.087444074,0.028473675,0.0976236
isRam_styleBlock,0.39442086,0.0,6.8829955e-05,0.007712306
isRam_styleDistributed,0.0,0.0,0.0,0.0
isResTypeDsp,0.0,0.82252735,0.00023291913,0.002316677
isResTypeLut,0.0,0.0,0.0,0.0
mac_complexity,0.009294419,0.00712701,0.04309869,0.008424942
noActivation,0.0,0.0,0.79934835,0.31252876
numInputVectors,0.0,4.6892437e-06,2.105101e-05,0.0007149419
outputDataType (bits),0.0,1.6616634e-07,0.002934186,0.0029446082
