feature,BRAM (36k eq.),DSP Blocks,Total FFs,Total LUT
ActVal,0.07424506,0.22249448,0.13228054,0.119708896
MH,0.0151881,0.006026481,0.09251988,0.008304762
MW,0.15005067,0.020582564,0.11843474,0.048379906
PE,0.32844478,0.071639925,0.21188548,0.12268159
SIMD,0.2037297,0.062049385,0.19820213,0.06870918
accDataType (bits),0.06476789,0.018519219,0.024946982,0.072330944
depth,0.0,0.0,0.0,0.0
inWidth,0.0,0.0,0.0,0.0
inputDataType (bits),0.01912676,0.04676574,0.016524471,0.01242616
isBinaryXnorMode0,0.06281588,0.08049824,0.09132607,0.05994496
isRTL,0.011141752,0.14590515,0.011026995,0.02722038
isRam_styleBlock,0.05762864,0.0012654295,0.0007391383,0.0017875263
isResTypeDsp,0.002905046,0.14895315,0.025415989,0.002340125
noActivation,0.0007561576,0.055415906,0.040147793,0.006542835
numInputVectors,0.0018454795,0.11006192,0.003213611,0.0026304938
outputDataType (bits),0.004331032,0.0024201777,0.0041321656,0.00320966
weightDataType (bits),0.00302311,0.0074021863,0.02920397,0.44378254
