fold,R2_Total_LUT,RMSE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks
1,0.44697387150699897,0.46494096517562866,0.01011099978300467,1.337717890739441,1.0,0.0,1.0,0.0
2,0.6697767546369136,0.4045543968677521,0.14218870313303011,1.2053523063659668,1.0,0.0,1.0,0.0
3,0.699738875875584,0.46385452151298523,0.14576403913190283,1.2978408336639404,1.0,0.0,1.0,0.0
4,0.7854166856343496,0.3861108720302582,0.21790069800909162,1.1346875429153442,1.0,0.0,1.0,0.0
5,0.7835002477401155,0.4494166076183319,0.2364002802133287,1.2592926025390625,1.0,0.0,1.0,0.0
6,0.7968542345801435,0.45233914256095886,0.26177082223075077,1.2722556591033936,1.0,0.0,1.0,0.0
7,0.7740118708622739,0.44998547434806824,0.23491431918925887,1.1657432317733765,1.0,0.0,1.0,0.0
8,0.6531513056185888,0.4260771870613098,0.13090380035979599,1.1667506694793701,1.0,0.0,1.0,0.0
9,0.630053116219204,0.4089060127735138,0.1324013257924881,1.1228045225143433,1.0,0.0,1.0,0.0
10,0.6134698835479918,0.45594707131385803,0.1231219595878229,1.296160101890564,1.0,0.0,1.0,0.0
