fold,accuracy,f1,stage,R2,MAE,RMSE
1,0.9289340101522843,0.9037800687285222,classifier,,,
2,0.932741116751269,0.9068541300527241,classifier,,,
3,0.9225888324873096,0.8964346349745331,classifier,,,
4,0.9365482233502538,0.9152542372881357,classifier,,,
5,0.9289340101522843,0.9027777777777778,classifier,,,
6,0.9313850063532402,0.9059233449477352,classifier,,,
7,0.9313850063532402,0.9052631578947369,classifier,,,
8,0.9377382465057179,0.915371329879102,classifier,,,
9,0.9440914866581956,0.9238754325259516,classifier,,,
10,0.940279542566709,0.9179755671902269,classifier,,,
1,,,regressor,0.9489136914258329,31.181404,206.8509063720703
2,,,regressor,0.9981433029171087,14.51848,32.5064811706543
3,,,regressor,0.9476992667686323,47.328785,260.08782958984375
4,,,regressor,0.968868307540433,34.98508,214.09690856933594
5,,,regressor,0.9907272926140619,22.200106,84.2751693725586
6,,,regressor,0.9989814171152708,14.9634905,34.83354187011719
7,,,regressor,0.9743314445424404,33.39714,202.12496948242188
8,,,regressor,0.974493587618085,23.373852,153.3543701171875
9,,,regressor,0.9581005031859058,40.385742,221.60684204101562
10,,,regressor,0.9236217448894898,67.47798,352.30218505859375
