fold,R2_Total_LUT,RMSE_Total_LUT,R2_Total_FFs,RMSE_Total_FFs,R2_BRAM_36k_eq,RMSE_BRAM_36k_eq,R2_DSP_Blocks,RMSE_DSP_Blocks
1,0.9999998976805579,0.00025553308660164475,0.9999999002975787,0.00037261380930431187,1.0,0.0,1.0,0.0
2,0.9999999616007995,0.00012496113777160645,0.9999999744805635,0.00015892817464191467,1.0,0.0,1.0,0.0
3,0.9999999645209092,0.0001371843827655539,0.9999999744311654,0.00017815240425989032,1.0,0.0,1.0,0.0
4,0.9999996586333869,0.00033524114405736327,0.9999997118854299,0.0005080546834506094,1.0,0.0,1.0,0.0
5,0.9999997388517177,0.0004802967014256865,0.9999998230553583,0.0005683556664735079,1.0,0.0,1.0,0.0
6,0.9999929831516031,0.0024858508259058,0.9999932993701058,0.003415165701881051,1.0,0.0,1.0,0.0
7,0.9999998937325227,0.00022848349181003869,0.9999999366622807,0.0002603443281259388,1.0,0.0,1.0,0.0
8,0.9999989153551271,0.0010433521820232272,0.9999991905356667,0.001238668104633689,1.0,0.0,1.0,0.0
9,0.9999997837829465,0.0003227048728149384,0.9999999675291927,0.00018830207409337163,1.0,0.0,1.0,0.0
10,0.9999957847804115,0.0016503126826137304,0.999996010142534,0.0023273953702300787,1.0,0.0,1.0,0.0
