module,n_features,TEST_R2_Total_LUT,TEST_RMSE_Total_LUT,TEST_R2_Total_FFs,TEST_RMSE_Total_FFs,TEST_R2_BRAM_36k_eq,TEST_RMSE_BRAM_36k_eq,TEST_R2_DSP_Blocks,TEST_RMSE_DSP_Blocks
MVAU_MNIST_1W1A,13,0.9999951692535994,0.0020544494036585093,0.9999980915033179,0.0016464315121993423,0.9999982985176137,0.0009959414601325989,1.0,0.0
MVAU_MNIST_2W2A,14,0.9996663144844834,0.01833438314497471,0.9999596760034417,0.007618943229317665,0.9999995999899107,0.0006088741938583553,0.9999999954154947,0.00011829789582407102
MVAU_SAT6_T2W2,15,0.9975689155843032,0.023672372102737427,0.9999670753933777,0.003930253442376852,0.9999988798251824,0.0003471784293651581,0.9999999904994604,0.00013970436702948064
MVAU_SAT6_T2W4,15,0.9996356106407374,0.015234509482979774,0.9999899076656498,0.0027470963541418314,0.9999996098734282,0.00015352708578575402,0.9999999463122071,0.000298015249427408
MVAU_SAT6_T2W8,14,0.9999526755088665,0.00974712148308754,0.999997543346297,0.0016942647052928805,0.9999997907791678,0.0001857728639151901,0.9999999491499115,0.0002900324179790914
ConvolutionInputGenerator,6,0.8607295926092418,0.08347150683403015,0.7165173152227172,0.20317639410495758,1.0,0.0,1.0,0.0
StreamingFIFO_LUT,3,0.593728027354407,0.7203484177589417,0.2764529936316441,0.739819347858429,1.0,0.0,1.0,0.0
StreamingFIFO_BRAM,2,-0.05213607213081173,0.18863600492477417,-0.03782686446365591,0.07516468316316605,-0.033814675931098215,0.16042017936706543,1.0,0.0
FMPadding,5,0.9121314159351731,0.038257889449596405,0.8821977979454853,0.07782480865716934,1.0,0.0,1.0,0.0
Thresholding,5,0.9999986526192245,0.000736677146051079,0.9999994052840291,0.0007499057683162391,1.0,0.0,1.0,0.0
LabelSelect,3,0.5398278674506749,0.1788359433412552,-0.01380396910697379,0.13366816937923431,1.0,0.0,1.0,0.0
StreamingDataWidthConverter,4,0.5196402154140534,0.43760180473327637,0.07768198588843656,1.1901681423187256,1.0,0.0,1.0,0.0
