Hardware config,Submodule Instance,isRTL,isHLS,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,PE,Padding,SIMD,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depthwise,inputDataType,is1D,mem_mode,noActivation,numInputVectors,op_type,outputDataType,parallel_window,ram_style,resType,runtime_writeable_weights,weightDataType,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
t2w8_run18_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT18,,,,[1],LabelSelect_hls,UINT8,,,,,,90,89,0.0,0
t2w2_run15_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w2_run16_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w8_run11_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT18,,,,[1],LabelSelect_hls,UINT8,,,,,,90,89,0.0,0
t2w2_run11_20_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w4_run11_20_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT11,,,,[1],LabelSelect_hls,UINT8,,,,,,65,61,0.0,0
t2w2_run19_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w8_run19_80_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT18,,,,[1],LabelSelect_hls,UINT8,,,,,,90,89,0.0,0
t2w2_run26_40_modify_folding_naive_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w2_run12_40_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w4_run12_20_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT11,,,,[1],LabelSelect_hls,UINT8,,,,,,65,61,0.0,0
t2w2_run26_80_modify_folding_naive_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w4_run26_20_modify_folding_greedy_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT11,,,,[1],LabelSelect_hls,UINT8,,,,,,65,61,0.0,0
t2w8_run24_80_modify_folding_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT18,,,,[1],LabelSelect_hls,UINT8,,,,,,90,89,0.0,0
t2w2_run26_80_modify_folding_greedy_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT7,,,,[1],LabelSelect_hls,UINT8,,,,,,58,56,0.0,0
t2w8_run26_20_modify_folding_naive_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT18,,,,[1],LabelSelect_hls,UINT8,,,,,,90,89,0.0,0
t2w4_run26_80_modify_folding_greedy_BOTH,LabelSelect_hls_0,0,1,,,,,,,1,6,,,,,1,,,,,fpgadataflow,,6,,INT11,,,,[1],LabelSelect_hls,UINT8,,,,,,65,61,0.0,0
