Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_SRLs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_SRLs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
737,737,0,0,1177,0,1,0,1476.5607,2208.571,-7.463812,-1.5345577,2615.0986,0.5889585,-1.3530552,4.0538526
273,260,13,0,309,0,0,0,1133.9288,918.58344,2.82213,0.2870173,896.1278,0.6918776,0.31140622,-3.1144443
2686,2686,0,0,4382,1,0,0,3893.6501,3373.111,7.3381867,7.8328633,6302.0054,5.24867,3.0271206,15.297205
1059,1059,0,0,1285,0,1,0,1680.0449,2578.128,-7.415242,-1.6059228,2705.1135,0.6864526,-1.1506732,4.17039
399,399,0,0,449,0,1,0,1805.1351,1653.933,3.4098036,0.2629183,1166.9019,0.6060487,0.5350221,3.3278456
4213,4213,0,0,8585,2,0,0,4235.853,3701.5808,7.3518786,7.945164,7756.961,5.01922,2.9023094,15.437544
3267,3267,0,0,1363,1,1,12,2377.8281,4141.0835,-7.0994577,-1.7994043,3037.9048,0.84760094,-0.5091018,4.535763
2914,2914,0,0,894,0,1,4,4220.246,7704.012,4.442299,0.19719855,1750.21,1.0157254,0.8074799,22.59341
6182,6182,0,0,16931,4,0,2,5057.337,4511.348,7.1816235,8.194647,11025.63,4.42172,2.6261005,15.854494
689,689,0,0,1059,0,1,0,1192.5798,1952.4218,-11.749431,-5.7974377,1849.7294,9.06267,-3.9512453,3.75121
387,387,0,0,562,0,1,0,858.1523,897.5714,-1.7024546,-0.9460247,1134.8209,-0.30115056,-0.12715712,-2.9397504
307,307,0,0,349,0,1,0,638.2788,714.92053,0.09118855,-0.32175177,379.42303,0.3471229,0.10035297,0.61413276
661,661,0,0,476,0,1,0,502.74414,512.81464,0.042629063,-0.28102,625.75446,0.49576902,0.09573147,0.22124484
275,275,0,0,233,0,1,0,266.49924,306.64856,0.09059258,-0.0032430673,245.74438,-0.08264491,0.8280412,0.024752397
959,959,0,0,1157,0,1,0,1380.4894,2249.8042,-11.696463,-5.8022714,1920.6549,9.040463,-3.7935193,3.8266015
617,617,0,0,948,0,1,0,1553.1195,1723.7439,-1.7662327,-1.0302988,1512.8221,-0.3267243,0.12543592,-2.5786564
487,487,0,0,547,0,1,0,1514.2928,1519.887,-0.036912203,-0.27085742,677.2203,0.19604552,0.13102666,1.0012476
784,784,0,0,806,0,1,0,760.7452,771.63824,-0.14893049,-0.21012057,1060.8511,0.39189744,0.0969685,0.6016889
277,277,0,0,334,0,1,0,599.51105,559.5627,0.30455512,0.055153497,757.06085,-0.008443501,1.0905004,0.4643961
3253,3253,0,0,1365,1,0,8,1990.34,3198.0835,-11.404643,-5.863832,2137.29,9.08337,-3.454103,4.106774
3496,3496,0,0,1895,0,1,4,4167.0522,5154.9756,-1.7353096,-1.1753982,2522.887,-0.33147597,0.71900445,-1.4474627
3252,3252,0,0,1217,0,1,2,3322.3813,3356.21,-0.2679112,-0.27908286,1733.4146,-0.08051419,0.37285945,1.8186495
3586,3586,0,0,1739,0,1,1,2737.188,2929.9148,-0.5983625,0.16599135,2204.1099,0.1729343,0.05213901,1.5015438
303,303,0,0,460,0,1,1,1264.8615,1035.9183,1.1548288,-0.01533929,1615.5618,0.013147328,0.9943942,1.7097545
2615,2615,0,0,3920,3,0,0,2651.3865,2428.3792,-1.7528722,-1.094535,4154.2134,1.0891578,-0.041718874,1.8096479
7129,7129,0,0,8075,32,0,0,7685.9463,7830.7603,-1.5996301,-0.10501296,8426.215,31.574287,0.03613576,1.953901
2067,2067,0,0,2800,8,0,0,1367.8544,1693.1368,-6.0842285,-2.108164,2393.4397,8.050685,3.9867759,5.438137
3881,3881,0,0,5358,16,0,0,4033.8486,4065.547,-0.25839823,1.5113152,4908.244,14.161986,-0.22346297,5.3359222
1135,1135,0,0,1916,8,2,0,1117.9553,962.09827,-0.42448157,0.89316267,1901.2693,7.3328357,2.0349941,5.3099365
3286,3286,0,0,2539,18,1,0,3298.2463,3199.9373,-1.1611674,3.270175,2426.953,14.953469,0.95024306,12.624036
324,324,0,0,464,4,1,0,356.973,451.45392,-0.36289138,0.13867076,737.61285,3.6677592,1.0271989,6.803258
426,426,0,0,793,8,1,0,548.05426,423.3676,-0.2844202,0.27434057,1056.1201,7.4641747,0.928242,4.6252785
979,979,0,0,727,1,0,0,937.5494,922.97314,-0.7358866,0.74953455,916.5481,0.28314498,0.079819515,3.4995925
