Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_SRLs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_SRLs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
737,737,0,0,1177,0,1,0,2087.8066299013885,2061.3844449439575,-2.7480755622926605,-2.680948289703922,1895.9333324177314,0.06263010077996636,-2.9915124800061634,-6.591822375617844
273,260,13,0,309,0,0,0,1524.0553909536873,1521.0109452717631,7.630922246840248,0.028282765361411277,1271.0832107724764,0.07621433370836408,0.8521106931364684,-3.9358854657306583
2686,2686,0,0,4382,1,0,0,3100.8587606976243,3312.0079319393367,-0.8969823160739434,-0.18816725911974763,7752.505013630931,4.5845400073443825,-0.19133787515357942,-0.10611277805740271
1059,1059,0,0,1285,0,1,0,2368.5302822604995,2331.180215589865,-2.4904948521869965,-2.6229432424247534,2007.5822944294982,0.17596623055990593,-2.87832344517587,-6.198245574590558
399,399,0,0,449,0,1,0,2253.4396351783676,2232.5516181120074,5.785359236803027,-0.04140992738946059,1523.507784696774,0.355884251590988,0.6831931389107906,2.071762831591101
4213,4213,0,0,8585,2,0,0,3552.226520173093,3729.64702679257,-1.2476499885209087,-0.24532954309355381,8057.093800243471,4.349779454739557,-0.4906781833425479,-0.13018751180330645
3267,3267,0,0,1363,1,1,12,3235.436987670657,3160.4911503379294,-2.0021424613832046,-2.4747095627126576,2353.9300386888253,0.3488223042109968,-2.658940018734715,-5.02315019290597
2914,2914,0,0,894,0,1,4,4274.310955846376,4206.609675451339,-0.36577809042736087,-0.059136579302620396,2294.6300443842565,1.591775434531948,1.030751458455821,21.77921254741414
6182,6182,0,0,16931,4,0,2,4851.375395001787,4901.581743137764,-2.3516256617617692,-0.2194720619611148,8872.048872457945,3.167135127528032,-1.3242151305111445,-0.1429680831865079
689,689,0,0,1059,0,1,0,1712.2220869724144,1833.8252319798362,-7.895501375125086,-8.139175266302052,1741.8692781560856,-4.369218181612255,-9.803074070608673,-9.453280782683539
387,387,0,0,562,0,1,0,1330.4408958701783,1345.8374323279095,3.9759510268616673,3.846044993057803,1128.4611095283085,4.268032907260522,5.244572719388159,4.694148150907898
307,307,0,0,349,0,1,0,959.5548245536567,918.8923902821443,0.4752361454605146,0.4054058114165853,432.60473873787566,0.29693455108685973,1.004917161534207,0.7608639891401205
661,661,0,0,476,0,1,0,880.5605485855284,840.8146038731423,0.13620367607023406,0.11586433958479825,698.5551418711499,0.8004701266392649,0.9733921693776433,0.4434126059671241
275,275,0,0,233,0,1,0,1034.458621742745,989.8936391636153,-0.003540224447445006,0.024114064883075825,501.79636670566384,0.1478461453537287,0.9244579617748385,-0.19274765440049635
959,959,0,0,1157,0,1,0,1990.3690847762714,2103.563389418824,-7.920530702766184,-8.161078647533555,1841.58147984575,-4.481397133541116,-9.817487815156191,-9.52923772879875
617,617,0,0,948,0,1,0,1750.336608245599,1774.9206697696989,3.853811705427286,3.6759207422861593,1364.1249784608815,3.7937265751439457,5.344464703095675,4.817430623572885
487,487,0,0,547,0,1,0,1450.0682545033364,1406.8350351783167,0.36277891659714967,0.27187766331919283,686.1055531060922,-0.11565954581081014,1.0140299780625297,0.8038448631626134
784,784,0,0,806,0,1,0,1311.6064937508522,1248.0359898199692,-0.1331390831258246,-0.17881975722444438,938.4636065864744,0.23499770190348515,0.8386999149262124,0.34544597427346857
277,277,0,0,334,0,1,0,1645.4833559841802,1592.7976590580718,-0.006914920465015434,0.02088926414690967,817.5112267363602,0.025498973153118693,1.0504239599567353,0.4329600921022906
3253,3253,0,0,1365,1,0,8,2846.1299235310335,2923.8702281830715,-8.074723338639465,-8.328791919253488,2152.1640227312114,-4.82759991312964,-9.961985077458671,-9.809523401640613
3496,3496,0,0,1895,0,1,4,2892.0400706028017,2914.732647304033,3.347759726529298,3.193075805797993,2000.1273484769022,2.350371400851651,5.266325663228854,4.818269735804977
3252,3252,0,0,1217,0,1,2,2698.5514164992605,2671.5725296861187,-0.01147633176524901,0.0012448999116956572,1364.081638767049,-1.3228851158591728,1.1932404939645953,1.021599744903418
3586,3586,0,0,1739,0,1,1,2542.392870056595,2476.4881113335923,-0.7110443280120573,-0.1515642537851839,1606.4281909737504,-1.129508028328414,0.650513817384281,0.1549587001298508
303,303,0,0,460,0,1,1,2709.591189796583,2641.691582864399,0.017035572971923263,0.0028335603458416736,1358.078127580119,-0.01213547128256573,0.9988690489787264,1.6548840027187353
2615,2615,0,0,3920,3,0,0,2284.733601105595,2354.2893941921097,0.06950277641147554,0.010214172518411724,3904.8166620465254,3.003240155113842,-0.0003492060663609631,-0.10198259277205124
7129,7129,0,0,8075,32,0,0,8011.04409653822,7975.2724024595445,0.1522138792680288,0.22594935109218617,8380.940258853932,32.03231978296338,0.13519624719267026,1.9658061311117645
2067,2067,0,0,2800,8,0,0,2496.252969520583,2299.5704269688918,-1.3857798708091864,-1.7934739721214388,2719.8354659077495,4.405466018251725,-1.75037635079869,-1.1690626298767566
3881,3881,0,0,5358,16,0,0,3344.402110463075,3363.3493663247123,-0.20621571041604977,-0.17004182615047259,4944.575850084567,15.926289213991698,-0.1250672188164727,-0.04068880270548614
1135,1135,0,0,1916,8,2,0,1101.9822645555832,1106.3615982027559,0.06526811797356127,-0.259743212822382,1939.996073420653,7.960428403214688,1.4987916994320891,-0.3770814245233314
3286,3286,0,0,2539,18,1,0,3322.4334952627464,3353.474761892855,-0.023927804764888067,-0.005660940144838866,2555.366353465561,17.835585186478383,0.9181272523555866,0.09991086119924497
324,324,0,0,464,4,1,0,388.65505651672896,389.1354286150823,0.17177400190733175,0.003943448688570994,549.0046626672746,4.0165354772249415,1.0404721008735573,-0.10189139801249358
426,426,0,0,793,8,1,0,431.3027746612567,484.2713370048269,0.2269154386141579,0.02704051685615938,761.2347205005216,8.020454872155861,1.0377752549961439,-0.10989358290156548
979,979,0,0,727,1,0,0,2053.019172324556,1994.3444657870307,0.10233351089246903,-0.009733208167283847,2287.003108620721,1.0005077004424259,0.009115946864243718,-0.03752920896078882
