Actual_Total_LUTs,Pred_Total_LUTs
8726,9864.475
1010,927.0074
112,106.19736
69,68.34596
3407,3696.017
350,353.22122
2692,2691.756
11,14.463137
24,53.31377
12,15.034069
4,4.932904
310,292.19357
19,20.271688
7,6.8193717
262,242.87003
35,34.551723
298,346.73404
11,10.850559
39,38.811695
4,4.527801
43,43.700577
16,13.609582
12348,9861.649
1010,927.0074
112,106.19736
75,82.09569
4657,3425.9514
740,706.552
4223,4219.466
557,760.30164
12,17.034555
14,16.164623
5,5.303909
310,292.19357
20,20.00373
7,6.8193717
258,243.14731
36,34.551723
149,223.13553
23,18.73093
83,85.67559
7,6.8193717
43,43.700577
18,20.271688
39293,24386.545
975,934.9771
112,106.19736
99,100.470634
27281,19186.057
3078,3305.1306
6172,6180.595
489,482.05722
12,17.034555
43,42.28188
7,7.86457
310,292.19357
19,20.271688
7,6.8193717
258,243.14731
36,34.551723
77,75.81909
83,85.67559
165,245.76613
11,10.850559
44,46.9057
26,26.072004
9279,10037.623
973,930.7334
815,832.556
718,711.27124
722,724.0159
112,106.19736
89,86.04406
72,70.364265
71,69.703995
54,53.252625
1919,1451.8142
819,1128.5342
305,295.28333
421,447.64267
275,275.56384
320,387.85272
12,17.034555
23,48.530827
5,5.303909
7,7.86457
4,4.932904
4,4.932904
310,292.19357
20,20.00373
166,159.64662
26,23.262827
47,48.79642
43,43.700577
43,43.700577
26,23.262827
38,37.31146
7,6.8193717
64,59.90245
5,5.303909
257,243.14731
11,10.850559
7,6.8193717
36,34.551723
299,346.73404
8,7.8484526
39,38.08147
12,11.651522
74,72.24197
20,20.00373
13327,10334.174
976,934.9771
976,929.0278
759,780.61084
752,728.0639
112,106.19736
105,106.19736
74,77.90224
71,69.70985
66,68.610695
3800,3466.4402
1486,1141.5157
485,488.20502
678,590.6156
277,279.79593
558,760.30164
483,482.05722
12,17.034555
11,14.463137
10,8.789144
5,5.303909
5,5.303909
310,292.19357
20,20.00373
8,8.61846
32,30.576511
62,56.87431
43,43.700577
43,43.700577
30,30.576511
47,43.399582
7,6.8193717
93,94.22186
8,7.8484526
258,243.14731
15,12.1567955
7,6.8193717
37,41.262566
149,223.13553
55,56.217255
20,20.00373
123,105.18493
36,34.551723
242,241.05896
