Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
2.1335,1.8008,6.428599999999999,0.0,0.5178071,0.30819643,0.35397977,0.00032803978
0.609,0.4361,3.2141999999999995,0.0,0.60890615,0.4369347,3.218624,0.00032803978
11.609,15.9126,2.8571,0.9091,11.60422,15.901366,2.8498685,0.9092728
1.8402000000000003,0.6833,0.7143,0.0,1.8396124,0.6854378,0.7149527,0.00032803978
4.9154,3.6842000000000006,2.1429,0.0,4.922144,3.6925912,2.1542366,0.00032803978
0.5169,0.219,0.3571,0.0,0.5176652,0.21171682,0.35526136,0.00032803978
6.1767,2.3863000000000003,13.2142,0.0,6.179114,2.3890436,13.211253,0.00032803978
0.75,0.422,0.3571,0.0,0.62322414,0.31723616,-0.056902345,0.00017688263
0.8008,0.7453,6.0714,0.0,0.79980624,0.7362098,6.072834,0.00032803978
1.3852999999999998,1.1062,0.3571,0.0,2.0313725,1.2028915,0.6168397,0.00032803978
0.8008,0.7453,6.0714,0.0,0.79980624,0.7362098,6.072834,0.00032803978
6.1147,1.2829,0.7143,3.6364,5.5463014,1.0570456,0.6874291,5.4437656
4.9154,3.6842000000000006,2.1429,0.0,4.922144,3.6925912,2.1542366,0.00032803978
1.8402000000000003,0.6833,0.7143,0.0,1.8396124,0.6854378,0.7149527,0.00032803978
