Repo,NodeName,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),Output Feature MapDim (dimensions flattened),SIMD,Stride (dimensions flattened),inFIFODepths (dimensions flattened),inputDataType (bits),outFIFODepths (dimensions flattened),outputDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,9216,8,931,751,180,0,520,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,2,8,925,745,180,0,520,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,146,8,2,8,1010,790,220,0,724,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,9216,8,927,747,180,0,520,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,2,8,923,743,180,0,520,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,146,8,2,8,1010,790,220,0,724,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,9216,8,939,759,180,0,520,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,2,8,931,751,180,0,520,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,146,8,2,8,975,755,220,0,724,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,9216,8,924,744,180,0,520,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,9,1,16,324,64,1,4,577,2,1582,2,797,707,90,0,461,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,9,1,8,100,16,1,4,129,2,2,2,720,690,30,0,456,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,9,1,16,36,4,1,4,110,2,286,2,704,674,30,0,455,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,2,8,931,751,180,0,520,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,9,1,16,324,64,1,4,769,2,2,2,795,705,90,0,461,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,9,1,8,100,16,1,4,129,2,2,2,708,678,30,0,456,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,9,1,16,36,4,1,4,110,2,286,2,716,686,30,0,455,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,146,8,2,8,973,753,220,0,724,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,9,1,16,324,64,8,4,58,2,2,2,815,705,110,0,595,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,9,1,8,100,16,1,4,146,2,569,2,718,688,30,0,456,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,9,1,16,36,4,1,4,121,2,2,2,722,692,30,0,455,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,9216,8,929,749,180,0,520,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,9,1,16,324,64,1,4,577,4,1582,4,899,749,150,0,481,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,9,1,8,100,16,1,4,129,4,2,4,738,678,60,0,476,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,9,1,16,36,4,1,4,110,4,286,4,753,693,60,0,475,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,2,8,930,750,180,0,520,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,9,1,16,324,64,1,4,769,4,2,4,891,741,150,0,481,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,9,1,8,100,16,1,4,129,4,2,4,735,675,60,0,476,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,9,1,16,36,4,1,4,110,4,286,4,755,695,60,0,475,0,0,0
t2w8_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,4624,8,9216,8,934,754,180,0,520,0,0,0
t2w8_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,9,1,16,324,64,1,4,577,8,1582,8,1112,812,300,0,527,0,0,0
t2w8_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,9,1,8,100,16,1,4,129,8,2,8,827,707,120,0,516,0,0,0
t2w8_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,9,1,16,36,4,1,4,110,8,286,8,843,723,120,0,515,0,0,0
