Repo,NodeName,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),Output Feature MapDim (dimensions flattened),SIMD,Stride (dimensions flattened),inputDataType (bits),outputDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,8,8,1.8985,1.485,1.2644,0,0.6805,0.0,0.0,0.0
t1w2_5000fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,8,8,1.7387,1.4004,1.0345,0,0.4887,0.0,0.0,0.0
t1w2_500fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,8,8,1.75,1.4117,1.0345,0,0.4887,0.0,0.0,0.0
t1w4_50000fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,8,8,1.8985,1.485,1.2644,0,0.6805,0.0,0.0,0.0
t1w4_5000fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,8,8,1.735,1.3966,1.0345,0,0.4887,0.0,0.0,0.0
t1w4_500fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,8,8,1.7425,1.4041,1.0345,0,0.4887,0.0,0.0,0.0
t1w8_50000fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,8,8,1.8327,1.4192,1.2644,0,0.6805,0.0,0.0,0.0
t1w8_5000fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,8,8,1.75,1.4117,1.0345,0,0.4887,0.0,0.0,0.0
t1w8_500fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,1,4,8,8,1.765,1.4267,1.0345,0,0.4887,0.0,0.0,0.0
t2w2_50000fps_u,ConvolutionInputGenerator_hls_0,9,1,4,1156,256,4,4,8,8,1.8289,1.4154,1.2644,0,0.6805,0.0,0.0,0.0
t2w2_50000fps_u,ConvolutionInputGenerator_hls_1,9,1,16,324,64,8,4,2,2,1.532,1.3252,0.6322,0,0.5592,0.0,0.0,0.0
t2w2_50000fps_u,ConvolutionInputGenerator_hls_2,9,1,8,100,16,1,4,2,2,1.3496,1.2932,0.1724,0,0.4286,0.0,0.0,0.0
