Repo,NodeName,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),Output Feature MapDim (dimensions flattened),SIMD,Stride (dimensions flattened),inputDataType (bits),outputDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t4w1a1_100fps_u,ConvolutionInputGenerator_rtl_0,9,1,3,1024,900,1,1,8,8,0.3872,0.297,0.2759,0,0.0893,0.0,0.0,0.0
t4w1a1_100fps_u,ConvolutionInputGenerator_rtl_1,9,1,64,900,784,1,1,1,1,0.6917,0.4549,0.7241,0,0.1109,0.0,0.0,0.0
t4w1a1_100fps_u,ConvolutionInputGenerator_rtl_2,9,1,64,196,144,1,1,1,1,0.4981,0.3816,0.3563,0,0.1015,0.0,0.0,0.0
t4w1a1_100fps_u,ConvolutionInputGenerator_rtl_3,9,1,128,144,100,1,1,1,1,0.6335,0.4305,0.6207,0,0.1081,0.0,0.0,0.0
t4w1a1_100fps_u,ConvolutionInputGenerator_rtl_4,9,1,128,25,9,1,1,1,1,0.4361,0.3383,0.2989,0,0.094,0.0,0.0,0.0
t4w1a1_100fps_u,ConvolutionInputGenerator_rtl_5,9,1,256,9,1,1,1,1,1,0.4812,0.3459,0.4138,0,0.094,0.0,0.0,0.0
t4w1a1_3500fps_u,ConvolutionInputGenerator_rtl_0,9,1,3,1024,900,1,1,8,8,0.4211,0.3008,0.3678,0,0.094,0.0,0.0,0.0
t4w1a1_3500fps_u,ConvolutionInputGenerator_rtl_1,9,1,64,900,784,16,1,1,1,0.4699,0.3045,0.5057,0,0.1062,0.0,0.0,0.0
t4w1a1_3500fps_u,ConvolutionInputGenerator_rtl_2,9,1,64,196,144,4,1,1,1,0.4229,0.3327,0.2759,0,0.0912,0.0,0.0,0.0
t4w1a1_3500fps_u,ConvolutionInputGenerator_rtl_3,9,1,128,144,100,8,1,1,1,0.5,0.3421,0.4828,0,0.0949,0.0,0.0,0.0
t4w1a1_3500fps_u,ConvolutionInputGenerator_rtl_4,9,1,128,25,9,1,1,1,1,0.4229,0.3252,0.2989,0,0.094,0.0,0.0,0.0
t4w1a1_3500fps_u,ConvolutionInputGenerator_rtl_5,9,1,256,9,1,1,1,1,1,0.485,0.3496,0.4138,0,0.094,0.0,0.0,0.0
t4w1a1_4000fps_u,ConvolutionInputGenerator_rtl_0,9,1,3,1024,900,1,1,8,8,0.4211,0.3008,0.3678,0,0.094,0.0,0.0,0.0
