Repo,K,Labels,PE,inputDataType (bits),numInputVectors (dimensions flattened),outputDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,1,6,1,12,1,8,0.1297,0.1297,0.0,0,0.0648,0.0,0.0,0.0
t1w2_5000fps_u,1,6,1,12,1,8,0.1297,0.1297,0.0,0,0.0648,0.0,0.0,0.0
t1w2_500fps_u,1,6,1,12,1,8,0.1015,0.1015,0.0,0,0.0508,0.0,0.0,0.0
t1w4_50000fps_u,1,6,1,14,1,8,0.141,0.141,0.0,0,0.0705,0.0,0.0,0.0
t1w4_5000fps_u,1,6,1,14,1,8,0.141,0.141,0.0,0,0.0705,0.0,0.0,0.0
t1w4_500fps_u,1,6,1,14,1,8,0.141,0.141,0.0,0,0.0705,0.0,0.0,0.0
t1w8_50000fps_u,1,6,1,22,1,8,0.1861,0.1861,0.0,0,0.093,0.0,0.0,0.0
t1w8_5000fps_u,1,6,1,22,1,8,0.1861,0.1861,0.0,0,0.093,0.0,0.0,0.0
t1w8_500fps_u,1,6,1,22,1,8,0.1861,0.1861,0.0,0,0.093,0.0,0.0,0.0
t2w2_50000fps_u,1,6,1,7,1,8,0.1015,0.1015,0.0,0,0.0508,0.0,0.0,0.0
t2w2_5000fps_u,1,6,1,7,1,8,0.1015,0.1015,0.0,0,0.0508,0.0,0.0,0.0
t2w2_500fps_u,1,6,1,7,1,8,0.1015,0.1015,0.0,0,0.0508,0.0,0.0,0.0
t2w4_50000fps_u,1,6,1,11,1,8,0.1241,0.1241,0.0,0,0.062,0.0,0.0,0.0
t2w4_5000fps_u,1,6,1,11,1,8,0.1241,0.1241,0.0,0,0.062,0.0,0.0,0.0
t2w4_500fps_u,1,6,1,11,1,8,0.1241,0.1241,0.0,0,0.062,0.0,0.0,0.0
t2w8_5000fps_u,1,6,1,18,1,8,0.1635,0.1635,0.0,0,0.0818,0.0,0.0,0.0
t2w8_500fps_u,1,6,1,18,1,8,0.1635,0.1635,0.0,0,0.0818,0.0,0.0,0.0
