Repo,NodeName,MH,MW,PE,SIMD,accDataType (bits),binaryXnorMode,inputDataType (bits),numInputVectors (dimensions flattened),outputDataType (bits),weightDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,MVAU_hls_0,20,36,4,36,13,0,8,256,2,2,6.4041,6.4041,0.0,0,4.7472,2.8571,0.0,0.0
t1w2_50000fps_u,MVAU_hls_1,8,20,1,20,6,0,2,256,2,2,0.6579,0.5921,0.2011,0,0.5808,0.0,0.0,0.0
t1w2_50000fps_u,MVAU_hls_2,6,2048,1,2,12,0,2,1,12,2,5.0602,5.0602,0.0,0,4.1184,0.7143,0.0,0.0
t1w2_5000fps_u,MVAU_hls_0,20,36,1,12,13,0,8,256,2,2,1.3853,1.3853,0.0,0,1.1062,0.0,0.3571,0.0
t1w2_5000fps_u,MVAU_hls_1,8,20,1,4,6,0,2,256,2,2,0.5132,0.4887,0.0747,0,0.2904,0.0,0.0,0.0
t1w2_5000fps_u,MVAU_hls_2,6,2048,1,2,12,0,2,1,12,2,5.0489,5.0489,0.0,0,4.1184,0.7143,0.0,0.0
t1w2_500fps_u,MVAU_hls_0,20,36,1,1,13,0,8,256,2,2,1.2951,1.2951,0.0,0,0.9953,0.0,0.3571,0.0
t1w2_500fps_u,MVAU_hls_1,8,20,1,1,6,0,2,256,2,2,0.7274,0.7274,0.0,0,0.5282,0.0,0.3571,0.0
t1w2_500fps_u,MVAU_hls_2,6,2048,1,2,12,0,2,1,12,2,0.5771,0.5771,0.0,0,0.328,0.0,0.3571,0.0
t1w4_50000fps_u,MVAU_hls_0,20,36,5,18,14,0,8,256,4,3,8.7538,8.7538,0.0,0,4.1184,2.8571,0.0,0.0
t1w4_50000fps_u,MVAU_hls_1,8,20,1,20,9,0,4,256,4,3,1.391,1.282,0.3333,0,0.9944,0.0,0.0,0.0
t1w4_50000fps_u,MVAU_hls_2,6,2048,1,2,14,0,4,1,14,4,7.938,7.938,0.0,0,8.0686,1.4286,0.0,0.0
t1w4_5000fps_u,MVAU_hls_0,20,36,1,12,14,0,8,256,4,3,1.9906,1.9906,0.0,0,1.2077,0.0,0.3571,0.0
t1w4_5000fps_u,MVAU_hls_1,8,20,1,4,9,0,4,256,4,3,0.75,0.75,0.0,0,0.422,0.0,0.3571,0.0
t1w4_5000fps_u,MVAU_hls_2,6,2048,1,2,14,0,4,1,14,4,7.9192,7.9192,0.0,0,8.0686,1.4286,0.0,0.0
t1w4_500fps_u,MVAU_hls_0,20,36,1,1,14,0,8,256,4,3,0.953,0.953,0.0,0,0.5132,0.0,0.3571,0.0
t1w4_500fps_u,MVAU_hls_1,8,20,1,1,9,0,4,256,4,3,0.6579,0.6579,0.0,0,0.2848,0.0,0.3571,0.0
t1w4_500fps_u,MVAU_hls_2,6,2048,1,2,14,0,4,1,14,4,7.9398,7.9398,0.0,0,8.0686,1.4286,0.0,0.0
t1w8_50000fps_u,MVAU_hls_0,20,36,10,9,18,0,8,256,8,7,51.2801,51.2801,0.0,0,4.9756,6.4286,0.0,45.4545
t1w8_50000fps_u,MVAU_hls_1,8,20,1,20,18,0,8,256,8,8,5.7857,5.7857,0.0,0,1.3055,1.4286,0.3571,10.0
t1w8_50000fps_u,MVAU_hls_2,6,2048,1,2,22,0,8,1,22,8,11.6015,11.6015,0.0,0,15.9126,2.8571,0.0,0.9091
t1w8_5000fps_u,MVAU_hls_0,20,36,1,12,18,0,8,256,8,7,6.141,6.141,0.0,0,1.281,0.7143,0.3571,5.4545
t1w8_5000fps_u,MVAU_hls_1,8,20,1,4,18,0,8,256,8,8,5.4774,5.4774,0.0,0,0.8402,0.0,0.3571,1.8182
t1w8_5000fps_u,MVAU_hls_2,6,2048,1,2,22,0,8,1,22,8,11.6203,11.6203,0.0,0,15.9126,2.8571,0.0,0.9091
t1w8_500fps_u,MVAU_hls_0,20,36,1,1,18,0,8,256,8,7,5.6259,5.6259,0.0,0,0.8111,0.0,0.3571,0.4545
t1w8_500fps_u,MVAU_hls_1,8,20,1,1,18,0,8,256,8,8,5.4737,5.4737,0.0,0,0.6842,0.0,0.3571,0.4545
t1w8_500fps_u,MVAU_hls_2,6,2048,1,2,22,0,8,1,22,8,11.609,11.609,0.0,0,15.9126,2.8571,0.0,0.9091
t2w2_50000fps_u,MVAU_hls_0,16,36,2,36,13,0,8,256,2,2,3.6071,3.6071,0.0,0,3.0648,1.4286,0.0,0.0
t2w2_50000fps_u,MVAU_hls_1,8,144,1,36,9,0,2,64,2,2,1.5395,1.5395,0.0,0,1.3092,0.7143,0.0,0.0
t2w2_50000fps_u,MVAU_hls_2,16,72,1,2,8,0,2,16,2,2,0.5733,0.5733,0.0,0,0.328,0.0,0.3571,0.0
t2w2_50000fps_u,MVAU_hls_3,8,144,1,2,9,0,2,4,2,2,0.7914,0.7914,0.0,0,0.4624,0.0,0.3571,0.0
t2w2_50000fps_u,MVAU_hls_4,6,32,1,1,7,0,2,1,7,2,0.5169,0.5169,0.0,0,0.219,0.0,0.3571,0.0
t2w2_5000fps_u,MVAU_hls_0,16,36,1,9,13,0,8,256,2,2,1.2951,1.2951,0.0,0,0.9953,0.0,0.3571,0.0
t2w2_5000fps_u,MVAU_hls_1,8,144,1,4,9,0,2,64,2,2,0.7274,0.7274,0.0,0,0.5282,0.0,0.3571,0.0
t2w2_5000fps_u,MVAU_hls_2,16,72,1,2,8,0,2,16,2,2,0.5771,0.5771,0.0,0,0.328,0.0,0.3571,0.0
t2w2_5000fps_u,MVAU_hls_3,8,144,1,1,9,0,2,4,2,2,1.2425,1.2425,0.0,0,0.4474,0.0,0.3571,0.0
t2w2_5000fps_u,MVAU_hls_4,6,32,1,1,7,0,2,1,7,2,0.5169,0.5169,0.0,0,0.219,0.0,0.3571,0.0
t2w2_500fps_u,MVAU_hls_0,16,36,1,1,13,0,8,256,2,2,0.7086,0.7086,0.0,0,0.4821,0.0,0.3571,0.0
t2w2_500fps_u,MVAU_hls_1,8,144,1,1,9,0,2,64,2,2,1.2575,1.2575,0.0,0,0.4511,0.0,0.3571,0.0
t2w2_500fps_u,MVAU_hls_2,16,72,1,2,8,0,2,16,2,2,0.5752,0.5752,0.0,0,0.328,0.0,0.3571,0.0
t2w2_500fps_u,MVAU_hls_3,8,144,1,1,9,0,2,4,2,2,1.2444,1.2444,0.0,0,0.4474,0.0,0.3571,0.0
t2w2_500fps_u,MVAU_hls_4,6,32,1,1,7,0,2,1,7,2,0.5188,0.5188,0.0,0,0.219,0.0,0.3571,0.0
t2w4_50000fps_u,MVAU_hls_0,16,36,4,18,14,0,8,256,4,3,7.1429,7.1429,0.0,0,3.5094,2.1429,0.0,0.0
t2w4_50000fps_u,MVAU_hls_1,8,144,2,18,12,0,4,64,4,3,2.7932,2.7932,0.0,0,1.9981,1.4286,0.0,0.0
t2w4_50000fps_u,MVAU_hls_2,16,72,1,2,11,0,4,16,4,3,0.9117,0.9117,0.0,0,0.5141,0.0,0.3571,0.0
t2w4_50000fps_u,MVAU_hls_3,8,144,1,2,11,0,4,4,4,3,1.2744,1.2744,0.0,0,0.7829,0.0,0.3571,0.0
t2w4_50000fps_u,MVAU_hls_4,6,32,1,1,11,0,4,1,11,4,0.5207,0.5207,0.0,0,0.3139,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_0,16,36,1,9,14,0,8,256,4,3,1.8026,1.8026,0.0,0,1.0874,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_1,8,144,1,4,12,0,4,64,4,3,1.1598,1.1598,0.0,0,0.891,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_2,16,72,1,2,11,0,4,16,4,3,0.9154,0.9154,0.0,0,0.5141,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_3,8,144,1,1,11,0,4,4,4,3,1.4737,1.4737,0.0,0,0.7575,0.0,0.3571,0.0
t2w4_5000fps_u,MVAU_hls_4,6,32,1,1,11,0,4,1,11,4,0.5207,0.5207,0.0,0,0.3139,0.0,0.3571,0.0
t2w4_500fps_u,MVAU_hls_0,16,36,1,1,14,0,8,256,4,3,0.9305,0.9305,0.0,0,0.516,0.0,0.3571,0.0
