Repo,NodeName,dataType (bits),inFIFODepths (dimensions flattened),inWidth,outFIFODepths (dimensions flattened),outWidth,shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,16,146,32,4624,0.0207,0.0207,0.0,0,0.0479,0.0,0.0,0.0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,2,32,2,288,9216,0.0451,0.0451,0.0,0,0.3064,0.0,0.0,0.0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,2,2,8,2,40,5120,0.0226,0.0188,0.0,2,0.0461,0.0,0.0,0.0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_3,2,2,2,1022,4,2048,0.0075,0.0075,0.0,0,0.0085,0.0,0.0,0.0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,593,96,9216,0.0207,0.0207,0.0,0,0.1034,0.0,0.0,0.0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,2,2,2,2,8,5120,0.0094,0.0094,0.0,0,0.0132,0.0,0.0,0.0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,2,2,2,338,4,2048,0.0075,0.0075,0.0,0,0.0085,0.0,0.0,0.0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,2,2,2,32,4,2048,0.0226,0.0226,0.0,0,0.0808,0.0,0.0,0.0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,16,146,32,4624,0.0226,0.0226,0.0,0,0.0479,0.0,0.0,0.0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,4,2,20,2,80,5120,0.0263,0.0263,0.0,0,0.0977,0.0,0.0,0.0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,4,2,4,1022,8,2048,0.0094,0.0094,0.0,0,0.0141,0.0,0.0,0.0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,593,96,9216,0.0207,0.0207,0.0,0,0.1034,0.0,0.0,0.0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,4,2,4,2,16,5120,0.0113,0.0113,0.0,0,0.0226,0.0,0.0,0.0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,4,2,4,338,8,2048,0.0094,0.0094,0.0,0,0.0141,0.0,0.0,0.0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,4,2,4,32,8,2048,0.0094,0.0094,0.0,0,0.0141,0.0,0.0,0.0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,16,146,32,4624,0.0226,0.0226,0.0,0,0.0479,0.0,0.0,0.0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_1,8,2,80,2,160,5120,0.0808,0.0808,0.0,0,0.2284,0.0,0.0,0.0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_2,8,2,8,1022,16,2048,0.0132,0.0132,0.0,0,0.0254,0.0,0.0,0.0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,8,2,8,593,96,9216,0.0207,0.0207,0.0,0,0.1034,0.0,0.0,0.0
