Repo,NodeName,dataType (bits),depth,folded_shape (dimensions flattened),normal_shape (dimensions flattened),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,435,4096,4096,310,86,0,224,35,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,2,4624,4624,19,19,0,0,35,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,146,4624,4624,262,102,0,160,45,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,2,9216,9216,35,35,0,0,67,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,2,9216,9216,298,298,0,0,586,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,2,2,5120,5120,11,11,0,0,19,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,2,2,5120,5120,39,39,0,0,75,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,2,2,2048,2048,4,4,0,0,7,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,2,1022,2048,2048,43,43,0,0,57,0,1,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,12,2,6,6,16,16,0,0,28,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,8,2,1,1,7,7,0,0,10,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,299,75,0,224,29,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,2,9216,9216,12,12,0,0,20,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,593,9216,9216,43,43,0,0,57,3,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,2,2,5120,5120,7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,2,2,5120,5120,11,11,0,0,20,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,2,2,2048,2048,7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,2,338,2048,2048,47,47,0,0,53,0,1,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,12,2,6,6,16,16,0,0,28,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,8,2,1,1,7,7,0,0,10,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,299,75,0,224,29,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,9216,9216,9216,11,11,0,0,19,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,2,2,5120,5120,43,43,0,0,57,2,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,2,2,2048,2048,48,38,0,10,15,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,2,32,2048,2048,43,43,0,0,57,0,1,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,12,2,6,6,6,6,0,0,7,0,0,0
t1w2_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,8,2,1,1,43,43,0,0,57,0,1,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,435,4096,4096,310,86,0,224,35,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,2,4624,4624,20,20,0,0,36,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,146,4624,4624,258,98,0,160,45,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,2,9216,9216,36,36,0,0,68,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,2,9216,9216,149,149,0,0,293,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,4,2,5120,5120,23,23,0,0,43,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,4,2,5120,5120,83,83,0,0,163,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,4,2,2048,2048,7,7,0,0,11,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,4,1022,2048,2048,43,43,0,0,57,0,1,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,14,2,6,6,18,18,0,0,32,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,8,2,1,1,7,7,0,0,10,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,298,74,0,224,29,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,2,9216,9216,12,12,0,0,20,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,593,9216,9216,43,43,0,0,57,3,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,4,2,5120,5120,8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,4,2,5120,5120,19,19,0,0,36,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,4,2,2048,2048,8,8,0,0,12,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,4,338,2048,2048,47,47,0,0,53,0,1,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,14,2,6,6,18,18,0,0,32,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,8,2,1,1,7,7,0,0,10,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,298,74,0,224,29,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,9216,9216,9216,30,30,0,0,73,4,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,4,2,5120,5120,8,8,0,0,12,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,4,2,2048,2048,7,7,0,0,11,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,4,32,2048,2048,38,30,0,8,18,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,14,2,6,6,18,18,0,0,32,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,8,2,1,1,7,7,0,0,10,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,435,4096,4096,310,86,0,224,35,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,2,4624,4624,19,19,0,0,35,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,146,4624,4624,258,98,0,160,45,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,2,9216,9216,36,36,0,0,68,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,2,9216,9216,77,77,0,0,148,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,8,2,5120,5120,83,83,0,0,163,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,8,2,5120,5120,165,165,0,0,325,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,8,2,2048,2048,11,11,0,0,19,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,8,1022,2048,2048,44,44,0,0,57,0,1,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,22,2,6,6,26,26,0,0,48,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,8,2,1,1,7,7,0,0,10,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,298,74,0,224,29,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,2,9216,9216,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,593,9216,9216,43,43,0,0,57,3,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,2,5120,5120,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,8,2,5120,5120,36,36,0,0,68,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,8,2,2048,2048,12,12,0,0,20,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,8,338,2048,2048,47,47,0,0,53,0,1,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,22,2,6,6,26,26,0,0,48,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,8,2,1,1,7,7,0,0,10,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,869,4096,4096,299,75,0,224,29,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,4624,4624,4624,30,30,0,0,69,2,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,9216,9216,9216,30,30,0,0,73,4,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,2,5120,5120,12,12,0,0,20,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,2,2048,2048,11,11,0,0,19,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,8,32,2048,2048,54,38,0,16,26,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,22,2,6,6,26,26,0,0,48,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,8,2,1,1,7,7,0,0,10,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_0,8,435,4096,4096,310,86,0,224,35,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_1,8,2,4624,4624,20,20,0,0,36,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_2,8,146,4624,4624,257,97,0,160,45,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_3,8,2,9216,9216,36,36,0,0,68,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_4,8,2,9216,9216,299,299,0,0,586,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_5,2,2,4096,4096,8,8,0,0,12,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_6,2,32,4096,4096,39,31,0,8,18,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_7,2,2,5184,5184,12,12,0,0,20,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_8,2,58,5184,5184,74,42,0,32,27,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_9,2,2,9216,9216,20,20,0,0,36,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_10,2,32,9216,9216,166,94,0,72,82,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_11,2,32,512,512,26,24,0,2,12,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_12,2,146,800,800,47,37,0,10,15,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingFIFO_rtl_13,2,569,1152,1152,43,43,0,0,57,0,1,0
