Repo,NodeName,OpType,ImgDim,NumChannels,Padding,SIMD,inputDataType,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_50000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",2,b'UINT8',112,112,0,0,124,0,0,0
t1w2_5000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t1w2_500fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t1w4_50000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",2,b'UINT8',112,112,0,0,124,0,0,0
t1w4_5000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t1w4_500fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t1w8_50000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",2,b'UINT8',112,112,0,0,124,0,0,0
t1w8_5000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t1w8_500fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t2w2_50000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",2,b'UINT8',112,112,0,0,124,0,0,0
t2w2_50000fps_u,FMPadding_hls_1,FMPadding_hls,"[16, 16]",16,"[1, 1, 1, 1]",4,b'UINT2',89,89,0,0,89,0,0,0
t2w2_50000fps_u,FMPadding_hls_2,FMPadding_hls,"[8, 8]",8,"[1, 1, 1, 1]",1,b'UINT2',72,72,0,0,62,0,0,0
t2w2_50000fps_u,FMPadding_hls_3,FMPadding_hls,"[4, 4]",16,"[1, 1, 1, 1]",1,b'UINT2',71,71,0,0,60,0,0,0
t2w2_5000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t2w2_5000fps_u,FMPadding_hls_1,FMPadding_hls,"[16, 16]",16,"[1, 1, 1, 1]",1,b'UINT2',87,87,0,0,71,0,0,0
t2w2_5000fps_u,FMPadding_hls_2,FMPadding_hls,"[8, 8]",8,"[1, 1, 1, 1]",1,b'UINT2',72,72,0,0,62,0,0,0
t2w2_5000fps_u,FMPadding_hls_3,FMPadding_hls,"[4, 4]",16,"[1, 1, 1, 1]",1,b'UINT2',71,71,0,0,60,0,0,0
t2w2_500fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t2w2_500fps_u,FMPadding_hls_1,FMPadding_hls,"[16, 16]",16,"[1, 1, 1, 1]",1,b'UINT2',87,87,0,0,71,0,0,0
t2w2_500fps_u,FMPadding_hls_2,FMPadding_hls,"[8, 8]",8,"[1, 1, 1, 1]",1,b'UINT2',72,72,0,0,62,0,0,0
t2w2_500fps_u,FMPadding_hls_3,FMPadding_hls,"[4, 4]",16,"[1, 1, 1, 1]",1,b'UINT2',71,71,0,0,60,0,0,0
t2w4_50000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",2,b'UINT8',112,112,0,0,124,0,0,0
t2w4_50000fps_u,FMPadding_hls_1,FMPadding_hls,"[16, 16]",16,"[1, 1, 1, 1]",4,b'UINT4',105,105,0,0,121,0,0,0
t2w4_50000fps_u,FMPadding_hls_2,FMPadding_hls,"[8, 8]",8,"[1, 1, 1, 1]",1,b'UINT4',74,74,0,0,70,0,0,0
t2w4_50000fps_u,FMPadding_hls_3,FMPadding_hls,"[4, 4]",16,"[1, 1, 1, 1]",1,b'UINT4',71,71,0,0,68,0,0,0
t2w4_5000fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t2w4_5000fps_u,FMPadding_hls_1,FMPadding_hls,"[16, 16]",16,"[1, 1, 1, 1]",1,b'UINT4',90,90,0,0,79,0,0,0
t2w4_5000fps_u,FMPadding_hls_2,FMPadding_hls,"[8, 8]",8,"[1, 1, 1, 1]",1,b'UINT4',74,74,0,0,70,0,0,0
t2w4_5000fps_u,FMPadding_hls_3,FMPadding_hls,"[4, 4]",16,"[1, 1, 1, 1]",1,b'UINT4',71,71,0,0,68,0,0,0
t2w4_500fps_u,FMPadding_hls_0,FMPadding_hls,"[32, 32]",4,"[1, 1, 1, 1]",1,b'UINT8',99,99,0,0,95,0,0,0
t2w4_500fps_u,FMPadding_hls_1,FMPadding_hls,"[16, 16]",16,"[1, 1, 1, 1]",1,b'UINT4',90,90,0,0,79,0,0,0
t2w4_500fps_u,FMPadding_hls_2,FMPadding_hls,"[8, 8]",8,"[1, 1, 1, 1]",1,b'UINT4',74,74,0,0,70,0,0,0
