Repo,NodeName,OpType,Partition,dataType,inFIFODepths,inWidth,outFIFODepths,outWidth,shape,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'UINT8',[2],32,[2],144,"[1, 16, 16, 36]",557,557,0,0,1765,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'UINT8',[2],32,[2],72,"[1, 16, 16, 36]",489,489,0,0,1696,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'UINT2',[2],16,[32],72,"[1, 8, 8, 144]",320,320,0,0,938,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'UINT8',[2],32,[2],144,"[1, 16, 16, 36]",558,558,0,0,1765,0,0,0
t2w4_50000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_1,StreamingDataWidthConverter_hls,partition_2,b'UINT4',[2],32,[46],72,"[1, 8, 8, 144]",483,483,0,0,1694,0,0,0
t4w1a1_3500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'BINARY',[2],16,[32],72,"[1, 28, 28, 576]",498,498,0,0,1701,0,0,0
t4w1a1_4000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'BINARY',[2],32,[2],72,"[1, 28, 28, 576]",498,498,0,0,1701,0,0,0
t4w1a1_4500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'BINARY',[2],32,[2],72,"[1, 28, 28, 576]",498,498,0,0,1701,0,0,0
t4w1a1_5000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'BINARY',[2],32,[2],72,"[1, 28, 28, 576]",498,498,0,0,1701,0,0,0
t4w1a1_6000fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'BINARY',[2],32,[2],72,"[1, 28, 28, 576]",498,498,0,0,1701,0,0,0
t4w1a1_7500fps_u,StreamingDataflowPartition_1_StreamingDataWidthConverter_hls_0,StreamingDataWidthConverter_hls,partition_2,b'BINARY',[2],64,[4694],72,"[1, 28, 28, 576]",498,498,0,0,1701,0,0,0
