hw_name_base,estimated_fps,Total LUTs,FFs,BRAM (36k),DSP Blocks,folding_config
final_optimized_drop3_model_try0,1090.1796616082331,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try1,2180.3593232164662,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try2,3270.538984824699,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try3,3488.574917146346,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try4,4360.7186464329325,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try5,6541.077969649398,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 6}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try6,9811.616954474097,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try7,10465.724751439036,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 12}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try8,10683.760683760684,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 12}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
final_optimized_drop3_model_try9,13082.155939298797,1915,1549,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 12}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
