hw_name_base,estimated_fps,Total LUTs,FFs,BRAM (36k),DSP Blocks,folding_config
sat6_t2_baseline_try0,885.7709750566894,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try1,1771.5419501133788,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try2,1771.5419501133788,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try3,2657.312925170068,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try4,3543.0839002267576,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 4}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try5,3543.0839002267576,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 6}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try6,5314.625850340136,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 6}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try7,5314.625850340136,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 3}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try8,5425.347222222223,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 4}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try9,7086.167800453515,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 4}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try10,7971.938775510204,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 9}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 6}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try11,10629.251700680272,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 12}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 6}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
sat6_t2_baseline_try12,10629.251700680272,1938,1539,0.0,0,"{""Defaults"": {""PE"": 1, ""SIMD"": 1}, ""FMPadding_rtl_0"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_0"": {""SIMD"": 1}, ""MVAU_hls_0"": {""PE"": 1, ""SIMD"": 18}, ""FMPadding_rtl_1"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_1"": {""SIMD"": 1}, ""MVAU_hls_1"": {""PE"": 1, ""SIMD"": 6}, ""FMPadding_rtl_2"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_2"": {""SIMD"": 1}, ""MVAU_hls_2"": {""PE"": 1, ""SIMD"": 2}, ""FMPadding_rtl_3"": {""SIMD"": 1}, ""ConvolutionInputGenerator_rtl_3"": {""SIMD"": 1}, ""MVAU_hls_3"": {""PE"": 1, ""SIMD"": 1}, ""MVAU_hls_4"": {""PE"": 1, ""SIMD"": 1}, ""LabelSelect_hls_0"": {""PE"": 1}}"
