run_id,estimated_fps,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,LUT_util_pct,FF_util_pct,BRAM_util_pct,DSP_util_pct,max_util_pct,acc_drop,model,fifo_depths
1,775.05,5455,4321,0,1134,4132,5.5,5,10.25,3.88,3.93,2.27,10.25,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 8637, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 97, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 307, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
2,1550.1,5471,4343,0,1127,4179,5.0,6,10.28,3.93,3.57,2.73,10.28,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 3775, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 97, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 307, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
3,2066.8,5458,4314,0,1143,4339,5.0,7,10.26,4.08,3.57,3.18,10.26,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 3813, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 101, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 307, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
4,2325.15,5445,4304,0,1141,4339,5.0,8,10.23,4.08,3.57,3.64,10.23,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 3813, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 101, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 270, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
5,3100.2,5270,4225,0,1044,4272,4.0,9,9.91,4.02,2.86,4.09,9.91,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 2134, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 103, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 270, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
6,4133.6,5407,4283,0,1124,4326,4.0,11,10.16,4.07,2.86,5.0,10.16,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 1220, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 103, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 270, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
7,4650.3,5350,4230,0,1120,4304,4.0,12,10.06,4.05,2.86,5.45,10.06,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 1220, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 103, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 204, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
8,6200.4,5471,4335,0,1136,4524,3.5,15,10.28,4.25,2.5,6.82,10.28,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 464, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 103, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 204, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
9,6975.45,5583,4361,0,1222,4490,3.5,18,10.49,4.22,2.5,8.18,10.49,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 464, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 103, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 58, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
10,8267.2,5450,4292,0,1158,4601,3.6,21,10.24,4.32,2.57,9.55,10.24,4,SAT6_T2W2_DROP4,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 219, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 112, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 561, 'StreamingFIFO_8': 58, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 51, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 2, 'StreamingFIFO_13': 103, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 114, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
