run_id,estimated_fps,pred_LUTs,logic_LUTs,lutrams,srls,pred_FFs,pred_BRAM,pred_DSP,LUT_util_pct,FF_util_pct,BRAM_util_pct,DSP_util_pct,max_util_pct,acc_drop,model,fifo_depths
1,678.17,6257,5092,0,1166,4621,5.5,5,11.76,4.34,3.93,2.27,11.76,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 9209, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 76, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 318, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 96, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
2,1356.34,6414,5181,0,1233,4748,5.5,6,12.06,4.46,3.93,2.73,12.06,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 8086, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 76, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 318, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 96, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
3,2034.51,5873,4745,0,1127,4655,4.0,8,11.04,4.38,2.86,3.64,11.04,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 4312, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 80, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 306, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 96, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
4,2712.67,5823,4761,0,1062,4682,4.0,9,10.95,4.4,2.86,4.09,10.95,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 2643, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 80, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 306, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 96, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
5,4069.01,5941,4739,0,1202,4731,3.5,12,11.17,4.45,2.5,5.45,11.17,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 1507, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 81, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 232, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 96, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
6,5425.35,5900,4830,0,1070,4903,3.5,16,11.09,4.61,2.5,7.27,11.09,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 592, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 85, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 448, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 96, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 2, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
7,6103.52,5940,4634,0,1306,4818,3.5,19,11.17,4.53,2.5,8.64,11.17,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 592, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 85, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 90, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 101, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
8,8138.02,5918,4581,0,1337,4851,3.0,22,11.12,4.56,2.14,10.0,11.12,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 242, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 94, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 90, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 101, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
9,10162.6,6048,4632,0,1415,5123,3.5,30,11.37,4.81,2.5,13.64,13.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 106, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 312, 'StreamingFIFO_8': 54, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 101, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
10,10526.32,5907,4550,0,1357,5090,3.5,30,11.1,4.78,2.5,13.64,13.64,0,SAT6_T2W2_PREBUILT,"{'StreamingFIFO_0': 866, 'StreamingFIFO_1': 2, 'StreamingFIFO_2': 362, 'StreamingFIFO_3': 36, 'StreamingFIFO_4': 2, 'StreamingFIFO_5': 106, 'StreamingFIFO_6': 2, 'StreamingFIFO_7': 33, 'StreamingFIFO_8': 143, 'StreamingFIFO_9': 2, 'StreamingFIFO_10': 2, 'StreamingFIFO_11': 2, 'StreamingFIFO_12': 63, 'StreamingFIFO_13': 101, 'StreamingFIFO_14': 2, 'StreamingFIFO_15': 43, 'StreamingFIFO_16': 2, 'StreamingFIFO_17': 2, 'StreamingFIFO_18': 160, 'StreamingFIFO_19': 2, 'StreamingFIFO_20': 2, 'StreamingFIFO_21': 2}"
