NodeName,OpType,AttributeName,AttributeValue
StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,dataType,b'UINT8'
StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,depth,869
StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,folded_shape,"[1, 32, 32, 4, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,impl_style,b'rtl'
StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,normal_shape,"[1, 32, 32, 4]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_0,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_FMPadding_hls_0,FMPadding_hls,ImgDim,"[32, 32]"
StreamingDataflowPartition_1_FMPadding_hls_0,FMPadding_hls,NumChannels,4
StreamingDataflowPartition_1_FMPadding_hls_0,FMPadding_hls,Padding,"[1, 1, 1, 1]"
StreamingDataflowPartition_1_FMPadding_hls_0,FMPadding_hls,SIMD,1
StreamingDataflowPartition_1_FMPadding_hls_0,FMPadding_hls,inputDataType,b'UINT8'
StreamingDataflowPartition_1_FMPadding_hls_0,FMPadding_hls,inFIFODepths,[869]
StreamingDataflowPartition_1_FMPadding_hls_0,FMPadding_hls,outFIFODepths,[4624]
StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,dataType,b'UINT8'
StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,depth,4624
StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,folded_shape,"[1, 34, 34, 4, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,impl_style,b'vivado'
StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,normal_shape,"[1, 34, 34, 4]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_1,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,ConvKernelDim,"[3, 3]"
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,Dilation,"[1, 1]"
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,IFMChannels,4
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,IFMDim,"[34, 34]"
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,OFMDim,"[16, 16]"
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,SIMD,1
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,Stride,"[2, 2]"
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,inputDataType,b'UINT8'
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,outputDataType,b'UINT8'
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,ram_style,b'distributed'
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,inFIFODepths,[4624]
StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,outFIFODepths,[2]
StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,dataType,b'UINT8'
StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,depth,2
StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,folded_shape,"[1, 16, 16, 36, 1]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,impl_style,b'rtl'
StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,normal_shape,"[1, 16, 16, 36]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_2,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,dataType,b'UINT8'
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,inWidth,8
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,outWidth,96
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,shape,"[1, 16, 16, 36]"
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,inFIFODepths,[2]
StreamingDataflowPartition_1_StreamingDataWidthConverter_rtl_0,StreamingDataWidthConverter_rtl,outFIFODepths,[593]
StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,dataType,b'UINT8'
StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,depth,593
StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,folded_shape,"[1, 16, 16, 3, 12]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,impl_style,b'vivado'
StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,normal_shape,"[1, 16, 16, 36]"
StreamingDataflowPartition_1_StreamingFIFO_rtl_3,StreamingFIFO_rtl,ram_style,b'auto'
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,ActVal,0
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,MH,20
StreamingDataflowPartition_1_MVAU_hls_0,MVAU_hls,MW,36
