Hardware config,Submodule Instance,isRTL,ConvKernelDim,Dilation,K,Labels,MH,MW,PE,Padding,SIMD,Stride,accDataType (bits),cycles_estimate,inputDataType (bits),noActivation,numInputVectors (dimensions flattened),isOp_typeMvauhls,isOp_typeMvaurtl,outputDataType (bits),isRestypeAuto,isRestypeLut,weightDataType (bits),Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w8_run18_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,16,36,1,,36,,18,4096,8,0,256,1,0,8,1,0,7,3337,2751,4.0,36
builds_t2w8_run18_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,8,144,1,,18,,20,4096,8,0,64,1,0,8,1,0,8,3890,2885,2.0,18
builds_t2w8_run18_40_modify_folding_BOTH,MVAU_hls_2,0,,,,,16,72,1,,6,,19,3072,8,0,16,1,0,8,1,0,8,3317,1595,1.0,6
builds_t2w8_run18_40_modify_folding_BOTH,MVAU_hls_3,0,,,,,8,144,1,,2,,19,2304,8,0,4,1,0,8,1,0,7,3452,1893,0.5,2
builds_t2w8_run18_40_modify_folding_BOTH,MVAU_rtl_0,1,,,,,6,32,1,,1,,18,192,8,1,1,0,1,18,1,0,7,109,188,0.5,1
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,16,36,1,,36,,13,4096,8,0,256,1,0,2,1,0,2,599,1419,1.0,36
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_1,0,,,,,8,144,1,,16,,9,4608,2,0,64,1,0,2,1,0,2,440,780,0.5,16
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_2,0,,,,,16,72,1,,4,,8,4608,2,0,16,1,0,2,1,0,2,328,398,0.5,4
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_3,0,,,,,8,144,1,,1,,9,4608,2,0,4,1,0,2,1,0,2,779,516,0.5,1
builds_t2w2_run15_40_modify_folding_BOTH,MVAU_hls_4,0,,,,,6,32,1,,1,,7,192,2,1,1,1,0,7,1,0,2,322,267,0.5,1
builds_t2w2_run16_40_modify_folding_BOTH,MVAU_hls_0,0,,,,,16,36,1,,36,,13,4096,8,0,256,1,0,2,1,0,2,599,1419,1.0,36
