Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
0.6579,0.5921,0.2011,0.5808,0.0,0.0,0.0,0.8648182,0.60483146,0.20022725,0.20671327,0.76719207,0.019793032,0.29567713
7.9192,7.9192,0.0,8.0686,1.4286,0.0,0.0,9.201409,8.236804,-0.0014370168,7.924293,0.917482,0.01856512,0.5484601
11.6015,11.6015,0.0,15.9126,2.8571,0.0,0.9090999999999999,14.622451,12.51994,-0.0034189927,15.975894,2.2560184,0.003981137,2.1242113
6.141,6.141,0.0,1.281,0.7143,0.3571,5.4545,8.025685,6.944928,-0.001475312,1.4632522,0.90573484,0.25055876,5.135982
0.5733,0.5733,0.0,0.328,0.0,0.3571,0.0,0.76188534,0.8099742,-0.0010819304,0.29733688,0.034006577,0.38196173,0.42592862
1.2951,1.2951000000000001,0.0,0.9953000000000001,0.0,0.3571,0.0,2.052547,2.0399716,-0.0030875017,1.114965,0.20688142,0.36026478,0.5521946
0.7086,0.7086,0.0,0.4821,0.0,0.3571,0.0,1.9392688,1.8317908,-0.001520453,0.8489428,0.02903207,0.4250548,0.6121756
0.9305,0.9304999999999999,0.0,0.516,0.0,0.3571,0.0,2.8357298,2.4158802,-0.0019016997,0.6742613,0.328456,0.3894514,0.7089895
4.9154,4.9154,0.0,3.6842000000000006,2.1429,0.0,0.0,2.8357298,2.4158802,-0.0019016997,0.6742613,0.328456,0.3894514,0.7089895
3.8853000000000004,3.8853,0.0,2.6316000000000006,5.714300000000001,0.0,0.0,3.0378385,2.5205748,-0.00209876,1.460821,2.8511581,0.34704638,0.54341584
6.571399999999999,6.5714,0.0,1.781,0.0,0.3571,1.8181999999999998,9.387737,7.219853,-0.0043404293,1.8982798,-0.49034333,0.35650325,2.8783514
0.5714,0.5714,0.0,0.4323,0.0,0.3571,0.4545,2.7894363,1.1934175,-0.0035774165,0.49165308,-0.7082815,0.3816835,1.3666216
0.8383,0.8383,0.0,0.7622,2.1429,0.3571,0.0,2.8585632,2.3996344,0.002052817,0.95050865,1.5622324,0.091827706,0.37914366
1.2481,1.2481,0.0,1.3553,5.714300000000001,0.3571,0.0,4.1024413,4.0796094,0.0029361274,2.0717094,5.090732,0.2067857,0.3272295
0.609,0.609,0.0,0.4361,2.8571,0.3571,0.0,1.1462923,0.90733945,0.0009776294,0.40020782,2.740853,0.37818444,0.20409021
3.8853000000000004,3.8853,0.0,2.6316000000000006,5.714300000000001,0.0,0.0,4.547542,4.8428564,0.0018712829,2.641643,5.9306035,0.013730673,0.07073079
4.9154,4.9154,0.0,3.6842000000000006,2.1429,0.0,0.0,4.9707565,5.5244055,-0.0038020615,3.6684628,2.2634695,0.0205782,0.4587583
7.2951,7.295099999999999,0.0,5.0357,11.428600000000001,0.0,0.0,7.5903125,8.308213,0.0021631278,4.998735,11.627779,0.013568526,0.19800034
2.1335,2.1335,0.0,1.8008,5.714300000000001,0.7143,0.0,2.8474193,3.2057595,0.0016525033,1.6471533,5.782059,0.734042,0.13238572
0.8008,0.8007999999999998,0.0,0.7453,5.714300000000001,0.3571,0.0,1.2911803,0.96292335,0.00044185223,0.6508329,5.7277536,0.38014737,0.18438876
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,2.1656935,1.8902174,-0.0002350063,0.6684884,0.42254978,0.008693701,0.47683913
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,2.1656935,1.8902174,-0.0002350063,0.6684884,0.42254978,0.008693701,0.47683913
2.1335,2.1335,0.0,1.8008,5.714300000000001,0.7143,0.0,2.9641387,3.4712324,0.0017231634,1.6527498,6.079569,0.7078527,0.060675625
4.9154,4.9154,0.0,3.6842000000000006,2.1429,0.0,0.0,3.7925987,3.8236005,0.0019802025,2.6568956,1.8776143,0.08638326,0.33704853
3.8853000000000004,3.8853,0.0,2.6316000000000006,5.714300000000001,0.0,0.0,4.488563,3.5451047,0.0020049773,3.371302,6.5447793,-0.008778299,-0.073739864
2.1335,2.1335,0.0,1.8008,5.714300000000001,0.7143,0.0,3.9080772,3.638484,0.00091436424,1.408339,6.6424737,0.4138406,0.21529646
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,2.1656935,1.8902174,-0.0002350063,0.6684884,0.42254978,0.008693701,0.47683913
7.2951,7.295099999999999,0.0,5.0357,11.428600000000001,0.0,0.0,7.5903125,8.308213,0.0021631278,4.998735,11.627779,0.013568526,0.19800034
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,2.1656935,1.8902174,-0.0002350063,0.6684884,0.42254978,0.008693701,0.47683913
