Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
0.6579,0.5808,0.0,0.0,1.4310942,0.9262704,0.014653597,0.0003284652
7.9192,8.0686,1.4286,0.0,7.9585795,8.060106,1.4181359,0.0003284652
6.141,1.281,1.0714000000000001,5.4545,6.067892,1.2535441,0.5062,3.6254692
5.4774,0.8402,0.3571,1.8182,5.4440413,0.85960597,0.53848296,1.812118
0.7914,0.4624,0.3571,0.0,0.7532689,0.38162804,0.33987334,0.0003284652
0.7274,0.5282,0.3571,0.0,0.5661374,0.46521854,0.2531884,0.0003284652
1.2575,0.4511,0.3571,0.0,1.1578238,0.7068791,0.40130684,0.0003284652
1.3609,0.7632,0.3571,0.0,1.2248524,1.0641648,0.360922,0.0003284652
13.4004,7.5893,22.8571,0.0,1.2248524,1.0641648,0.360922,0.0003284652
7.295100000000001,5.0357,11.428600000000001,0.0,1.4986093,0.7861349,0.39588168,0.0003284652
6.1128,1.1438,0.3571,0.9091,6.1414857,1.1477712,0.34088755,0.90838695
0.7143,0.5573,0.3571,0.0,2.5202665,1.8449413,1.3215042,0.0003284652
1.2481,1.3553,6.0714,0.0,1.7661353,1.6619722,8.881567,0.0003284652
3.7368,1.2867,6.785700000000001,0.0,1.7632116,1.297905,6.467178,0.0003284652
0.8008,0.7453,6.0714,0.0,0.8008507,0.74068034,6.067008,0.0003284652
1.8402000000000003,0.6833,0.7143,0.0,1.8389597,0.6844947,0.71616703,0.0003284652
7.295100000000001,5.0357,11.428600000000001,0.0,7.3026576,5.0443454,11.427647,0.0003284652
13.4004,7.5893,22.8571,0.0,13.405515,7.5929203,22.85196,0.0003284652
2.1335,1.8008,6.428599999999999,0.0,2.1299086,1.7978994,6.4354687,0.0003284652
6.1767,2.3863000000000003,13.2142,0.0,6.1778355,2.387662,13.217795,0.0003284652
1.8402000000000003,0.6833,0.7143,0.0,1.8389597,0.6844947,0.71616703,0.0003284652
4.9154,3.6842000000000006,2.1429,0.0,4.9131794,3.6945484,2.148772,0.0003284652
4.9154,3.6842000000000006,2.1429,0.0,4.9131794,3.6945484,2.148772,0.0003284652
6.1767,2.3863000000000003,13.2142,0.0,6.1778355,2.387662,13.217795,0.0003284652
13.4004,7.5893,22.8571,0.0,8.107612,4.058776,2.7371342,0.0003284652
7.295100000000001,5.0357,11.428600000000001,0.0,2.8600562,2.3596923,9.478162,0.0003284652
1.8402000000000003,0.6833,0.7143,0.0,1.8389597,0.6844947,0.71616703,0.0003284652
7.295100000000001,5.0357,11.428600000000001,0.0,7.3026576,5.0443454,11.427647,0.0003284652
1.8402000000000003,0.6833,0.7143,0.0,1.8389597,0.6844947,0.71616703,0.0003284652
