Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
0.6579,0.5921,0.2011,0.5808,0.0,0.0,0.0,1.6940957,0.62609375,0.069460504,2.4334795,0.5744748,-0.0044025085,-0.3488405
7.9192,7.9192,0.0,8.0686,1.4286,0.0,0.0,8.013748,5.744003,0.003547823,5.478157,1.9306862,0.021854239,-0.39874977
11.6015,11.6015,0.0,15.9126,2.8571,0.0,0.9090999999999999,11.495604,9.400083,0.011076937,11.212998,3.3418705,0.006198137,-0.4942589
6.141,6.141,0.0,1.281,0.7143,0.3571,5.4545,5.800552,4.239299,-0.0005444275,1.617973,0.52023315,0.28310505,3.3423288
0.5733,0.5733,0.0,0.328,0.0,0.3571,0.0,1.5443299,0.19618319,0.0017049101,0.800694,0.3098985,0.36166808,-0.20397826
1.2951,1.2951000000000001,0.0,0.9953000000000001,0.0,0.3571,0.0,1.7827175,0.33405545,-0.000596066,1.9645921,0.25864667,0.33181128,-0.32207313
0.7086,0.7086,0.0,0.4821,0.0,0.3571,0.0,1.4709793,0.18152232,0.0013302435,1.5391501,0.07876594,0.36555663,-0.33327913
0.9305,0.9304999999999999,0.0,0.516,0.0,0.3571,0.0,2.149052,0.6001736,0.0004644808,1.534576,0.18969305,0.35077927,-0.15821674
4.9154,4.9154,0.0,3.6842000000000006,2.1429,0.0,0.0,2.149052,0.6001736,0.0004644808,1.534576,0.18969305,0.35077927,-0.15821674
3.8853000000000004,3.8853,0.0,2.6316000000000006,5.714300000000001,0.0,0.0,2.4887092,1.1239074,-0.00090544776,2.2644577,3.1419628,0.32226765,-0.34673405
6.571399999999999,6.5714,0.0,1.781,0.0,0.3571,1.8181999999999998,7.019896,5.6124578,0.0023546147,1.6621566,-0.06973824,0.3306852,0.61353004
0.5714,0.5714,0.0,0.4323,0.0,0.3571,0.4545,2.7550092,0.5198289,0.003457017,1.3161315,0.7693837,0.34787944,-0.036691893
0.8383,0.8383,0.0,0.7622,2.1429,0.3571,0.0,1.8302443,0.7850599,9.3895556e-05,1.4682813,0.97390324,0.22840959,-0.16571964
1.2481,1.2481,0.0,1.3553,5.714300000000001,0.3571,0.0,5.314595,3.0717402,-0.00039303253,2.1859004,3.2610343,0.27800256,-0.05863146
0.609,0.609,0.0,0.4361,2.8571,0.3571,0.0,0.9236071,0.08151118,0.0023522144,0.9352499,2.379691,0.3333013,-0.05011482
3.8853000000000004,3.8853,0.0,2.6316000000000006,5.714300000000001,0.0,0.0,3.843856,2.8743763,-0.00063034985,3.6938899,5.445981,-0.0040159193,-0.1005163
4.9154,4.9154,0.0,3.6842000000000006,2.1429,0.0,0.0,5.4765244,4.473015,0.0034846745,5.2672977,2.3635895,-0.010349758,-0.4473529
7.2951,7.295099999999999,0.0,5.0357,11.428600000000001,0.0,0.0,7.1017323,6.6014724,0.0036565417,5.9066305,11.078861,-0.005394094,0.052071527
2.1335,2.1335,0.0,1.8008,5.714300000000001,0.7143,0.0,2.3637772,1.6189302,-0.00069130224,2.4310133,5.463077,0.68910104,-0.03772278
0.8008,0.8007999999999998,0.0,0.7453,5.714300000000001,0.3571,0.0,1.0178379,0.22502738,0.0025382394,0.97667074,5.4538827,0.33277178,-0.035306003
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,1.74451,0.8444133,-0.00094126,1.0496047,0.64644426,0.0042338343,-0.4210346
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,1.74451,0.8444133,-0.00094126,1.0496047,0.64644426,0.0042338343,-0.4210346
2.1335,2.1335,0.0,1.8008,5.714300000000001,0.7143,0.0,2.5967996,1.842479,-6.0680464e-05,2.527852,5.58856,0.69833565,-0.038287245
4.9154,4.9154,0.0,3.6842000000000006,2.1429,0.0,0.0,4.6935306,2.7512028,0.010952004,4.6474757,2.085564,-0.0024855926,-0.67387646
3.8853000000000004,3.8853,0.0,2.6316000000000006,5.714300000000001,0.0,0.0,3.0572848,1.6637462,0.00096256373,4.7951326,8.583999,-0.0023370145,-0.09577587
2.1335,2.1335,0.0,1.8008,5.714300000000001,0.7143,0.0,3.699769,2.456156,-0.0009886083,1.9559042,6.2694917,0.3456428,-0.03396041
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,1.74451,0.8444133,-0.00094126,1.0496047,0.64644426,0.0042338343,-0.4210346
7.2951,7.295099999999999,0.0,5.0357,11.428600000000001,0.0,0.0,7.1017323,6.6014724,0.0036565417,5.9066305,11.078861,-0.005394094,0.052071527
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,1.74451,0.8444133,-0.00094126,1.0496047,0.64644426,0.0042338343,-0.4210346
