Repository,Instance,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_5000fps_u,StreamingDataflowPartition_1,,,,,,,,,5281,4864,193,224,6987,6,2,0
t1w2_5000fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,2,925,745,180,0,520,0,0,0
t1w2_5000fps_u,FMPadding_hls_0,,1,,,,,869,4624,99,99,0,0,95,0,0,0
t1w2_5000fps_u,LabelSelect_hls_0,1,,,,,,2,2,69,69,0,0,69,0,0,0
t1w2_5000fps_u,MVAU_hls_0,1,12,auto,auto,internal_decoupled,0,593,2,737,737,0,0,1177,0,1,0
t1w2_5000fps_u,MVAU_hls_1,1,4,auto,auto,internal_decoupled,0,2,2,273,260,13,0,309,0,0,0
t1w2_5000fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,338,2,2686,2686,0,0,4382,1,0,0
t1w2_5000fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,593,11,11,0,0,110,0,0,0
t1w2_5000fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,2,2,5,5,0,0,14,0,0,0
t1w2_5000fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,2,338,4,4,0,0,9,0,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,299,75,0,224,29,0,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,30,30,0,0,69,2,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_2,,,auto,,,,0,0,12,12,0,0,20,0,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_3,,,auto,,,,0,0,43,43,0,0,57,3,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_4,,,auto,,,,0,0,7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_5,,,auto,,,,0,0,11,11,0,0,20,0,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_6,,,auto,,,,0,0,7,7,0,0,8,0,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_7,,,auto,,,,0,0,47,47,0,0,53,0,1,0
t1w2_5000fps_u,StreamingFIFO_rtl_8,,,auto,,,,0,0,16,16,0,0,28,0,0,0
t1w2_5000fps_u,StreamingFIFO_rtl_9,,,auto,,,,0,0,7,7,0,0,10,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1,,,,,,,,,8726,8085,255,386,12367,5,1,0
t1w2_50000fps_u,ConvolutionInputGenerator_hls_0,,4,distributed,,,,146,2,1010,790,220,0,724,0,0,0
t1w2_50000fps_u,FMPadding_hls_0,,2,,,,,435,2,112,112,0,0,124,0,0,0
