Repository,Instance,PE,SIMD,ram_style,resType,mem_mode,runtime_writeable_weights,inFIFODepths,outFIFODepths,impl_style,depth,parallel_window,RAMB36,RAMB18
t1w2_500fps_u,StreamingDataflowPartition_1,,,,,,,,,,,,4,8
t1w2_500fps_u,ConvolutionInputGenerator_hls_0,,1,distributed,,,,4624,9216,,,0,0,0
t1w2_500fps_u,ConvolutionInputGenerator_hls_1,,,,,,,,,,,,0,0
t1w2_500fps_u,ConvolutionInputGenerator_hls_2,,,,,,,,,,,,0,0
t1w2_500fps_u,ConvolutionInputGenerator_hls_3,,,,,,,,,,,,0,0
t1w2_500fps_u,FMPadding_hls_0,,1,,,,,869,4624,,,,0,0
t1w2_500fps_u,FMPadding_hls_1,,,,,,,,,,,,0,0
t1w2_500fps_u,FMPadding_hls_2,,,,,,,,,,,,0,0
t1w2_500fps_u,FMPadding_hls_3,,,,,,,,,,,,0,0
t1w2_500fps_u,LabelSelect_hls_0,1,,,,,,2,2,,,,0,0
t1w2_500fps_u,MVAU_hls_0,1,1,auto,auto,internal_decoupled,0,9216,2,,,,0,1
t1w2_500fps_u,MVAU_hls_1,1,1,auto,auto,internal_decoupled,0,2,2,,,,0,1
t1w2_500fps_u,MVAU_hls_2,1,2,auto,auto,internal_decoupled,0,32,2,,,,0,1
t1w2_500fps_u,MVAU_hls_3,,,,,,,,,,,,0,1
t1w2_500fps_u,MVAU_hls_4,,,,,,,,,,,,0,1
t1w2_500fps_u,StreamingDataWidthConverter_rtl_0,,,,,,,2,32,,,,0,0
t1w2_500fps_u,StreamingDataWidthConverter_rtl_1,,,,,,,,,,,,0,0
t1w2_500fps_u,StreamingDataWidthConverter_rtl_2,,,,,,,,,,,,0,0
t1w2_500fps_u,StreamingFIFO_rtl_0,,,auto,,,,0,0,rtl,869,,0,0
t1w2_500fps_u,StreamingFIFO_rtl_1,,,auto,,,,0,0,vivado,4624,,2,0
t1w2_500fps_u,StreamingFIFO_rtl_10,,,,,,,,,,,,0,0
t1w2_500fps_u,StreamingFIFO_rtl_11,,,,,,,,,,,,0,0
t1w2_500fps_u,StreamingFIFO_rtl_12,,,,,,,,,,,,0,0
t1w2_500fps_u,StreamingFIFO_rtl_13,,,,,,,,,,,,0,0
