Repo,K,Labels,PE,inFIFODepths (dimensions flattened),inputDataType (bits),numInputVectors (dimensions flattened),outFIFODepths (dimensions flattened),outputDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,1,6,1,2,12,1,2,8,54,54,0,0,54,0,0,0
t1w2_5000fps_u,1,6,1,2,12,1,2,8,69,69,0,0,69,0,0,0
t1w2_50000fps_u,1,6,1,2,12,1,2,8,69,69,0,0,69,0,0,0
t1w4_500fps_u,1,6,1,2,14,1,2,8,75,75,0,0,75,0,0,0
t1w4_5000fps_u,1,6,1,2,14,1,2,8,75,75,0,0,75,0,0,0
t1w4_50000fps_u,1,6,1,2,14,1,2,8,75,75,0,0,75,0,0,0
t1w8_500fps_u,1,6,1,2,22,1,2,8,99,99,0,0,99,0,0,0
t1w8_5000fps_u,1,6,1,2,22,1,2,8,99,99,0,0,99,0,0,0
t1w8_50000fps_u,1,6,1,2,22,1,2,8,99,99,0,0,99,0,0,0
t2w2_500fps_u,1,6,1,2,7,1,2,8,54,54,0,0,54,0,0,0
t2w2_5000fps_u,1,6,1,2,7,1,2,8,54,54,0,0,54,0,0,0
t2w2_50000fps_u,1,6,1,2,7,1,2,8,54,54,0,0,54,0,0,0
t2w4_500fps_u,1,6,1,2,11,1,2,8,66,66,0,0,66,0,0,0
t2w4_5000fps_u,1,6,1,2,11,1,2,8,66,66,0,0,66,0,0,0
t2w8_500fps_u,1,6,1,2,18,1,2,8,87,87,0,0,87,0,0,0
