Repo,NodeName,MH,MW,PE,SIMD,accDataType (bits),inFIFODepths (dimensions flattened),inputDataType (bits),numInputVectors (dimensions flattened),outFIFODepths (dimensions flattened),outputDataType (bits),weightDataType (bits),Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,1,1,13,9216,8,256,2,2,2,689,689,0,0,1059,0,1,0
t1w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,1,6,2,2,256,2,2,2,387,387,0,0,562,0,1,0
t1w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,12,32,2,1,2,12,2,307,307,0,0,349,0,1,0
t1w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,1,12,13,593,8,256,2,2,2,737,737,0,0,1177,0,1,0
t1w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,4,6,2,2,256,2,2,2,273,260,13,0,309,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,12,338,2,1,2,12,2,2686,2686,0,0,4382,1,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,4,36,13,2,8,256,2,2,2,3407,3407,0,0,5051,4,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,20,6,2,2,256,2,2,2,350,315,35,0,618,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,12,1022,2,1,2,12,2,2692,2692,0,0,4382,1,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,1,1,14,9216,8,256,2,4,3,507,507,0,0,546,0,1,0
t1w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,1,9,2,4,256,2,4,3,350,350,0,0,303,0,1,0
t1w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,14,32,4,1,2,14,4,4224,4224,0,0,8585,2,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,1,12,14,593,8,256,2,4,3,1059,1059,0,0,1285,0,1,0
t1w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,4,9,2,4,256,2,4,3,399,399,0,0,449,0,1,0
t1w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,14,338,4,1,2,14,4,4213,4213,0,0,8585,2,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,5,18,14,2,8,256,2,4,3,4657,4657,0,0,4382,4,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,20,9,2,4,256,2,4,3,740,682,58,0,1058,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,14,1022,4,1,2,14,4,4223,4223,0,0,8585,2,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,1,1,18,9216,8,256,2,8,7,2993,2993,0,0,863,0,1,1
t1w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,1,18,2,8,256,2,8,8,2912,2912,0,0,728,0,1,1
t1w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,22,32,8,1,2,22,8,6176,6176,0,0,16931,4,0,2
t1w8_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,1,12,18,593,8,256,2,8,7,3267,3267,0,0,1363,1,1,12
t1w8_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,4,18,2,8,256,2,8,8,2914,2914,0,0,894,0,1,4
t1w8_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,22,338,8,1,2,22,8,6182,6182,0,0,16931,4,0,2
t1w8_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,20,36,10,9,18,2,8,256,2,8,7,27281,27281,0,0,5294,9,0,100
t1w8_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,20,1,20,18,2,8,256,2,8,8,3078,3078,0,0,1389,2,1,22
t1w8_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,6,2048,1,2,22,1022,8,1,2,22,8,6172,6172,0,0,16931,4,0,2
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,16,36,1,1,13,9216,8,256,32,2,2,377,377,0,0,513,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,144,1,1,9,1582,2,64,2,2,2,669,669,0,0,480,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,16,72,1,2,8,178,2,16,2,2,2,306,306,0,0,349,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_3,8,144,1,1,9,286,2,4,2,2,2,662,662,0,0,476,0,1,0
t2w2_500fps_u,StreamingDataflowPartition_1_MVAU_hls_4,6,32,1,1,7,2,2,1,2,7,2,276,276,0,0,233,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,16,36,1,9,13,870,8,256,148,2,2,689,689,0,0,1059,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,144,1,4,9,682,2,64,2,2,2,387,387,0,0,562,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,16,72,1,2,8,178,2,16,2,2,2,307,307,0,0,349,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_3,8,144,1,1,9,286,2,4,2,2,2,661,661,0,0,476,0,1,0
t2w2_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_4,6,32,1,1,7,2,2,1,2,7,2,275,275,0,0,233,0,1,0
t2w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,16,36,2,36,13,2,8,256,2,2,2,1919,1919,0,0,3261,2,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,144,1,36,9,32,2,64,32,2,2,819,819,0,0,1393,1,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,16,72,1,2,8,576,2,16,32,2,2,305,305,0,0,349,0,1,0
t2w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_3,8,144,1,2,9,142,2,4,2,2,2,421,421,0,0,492,0,1,0
t2w2_50000fps_u,StreamingDataflowPartition_1_MVAU_hls_4,6,32,1,1,7,2,2,1,2,7,2,275,275,0,0,233,0,1,0
t2w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,16,36,1,1,14,9216,8,256,32,4,3,495,495,0,0,549,0,1,0
t2w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,144,1,1,12,1582,4,64,2,4,3,724,724,0,0,812,0,1,0
t2w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,16,72,1,2,11,178,4,16,2,4,3,485,485,0,0,547,0,1,0
t2w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_3,8,144,1,1,11,286,4,4,2,4,3,786,786,0,0,806,0,1,0
t2w4_500fps_u,StreamingDataflowPartition_1_MVAU_hls_4,6,32,1,1,11,2,4,1,2,11,4,277,277,0,0,334,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_0,16,36,1,9,14,870,8,256,147,4,3,959,959,0,0,1157,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,144,1,4,12,682,4,64,2,4,3,617,617,0,0,948,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_2,16,72,1,2,11,178,4,16,2,4,3,487,487,0,0,547,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_3,8,144,1,1,11,286,4,4,2,4,3,784,784,0,0,806,0,1,0
t2w4_5000fps_u,StreamingDataflowPartition_1_MVAU_hls_4,6,32,1,1,11,2,4,1,2,11,4,277,277,0,0,334,0,1,0
t2w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_0,16,36,1,1,18,9216,8,256,32,8,7,2967,2967,0,0,863,0,1,1
t2w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_1,8,144,1,1,20,1582,8,64,2,8,8,3587,3587,0,0,1746,0,1,1
t2w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_2,16,72,1,2,19,178,8,16,2,8,8,3268,3268,0,0,1217,0,1,2
t2w8_500fps_u,StreamingDataflowPartition_1_MVAU_hls_3,8,144,1,1,19,286,8,4,2,8,7,3534,3534,0,0,1739,0,1,1
