Repo,NodeName,OpType,Partition,ConvKernelDim,Dilation,IFMChannels,IFMDim,OFMDim,SIMD,Stride,inFIFODepths,inputDataType,outFIFODepths,outputDataType,ram_style,Total LUTs,Logic LUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP Blocks
t1w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[9216],b'UINT8',b'distributed',931,751,180,0,520,0,0,0
t1w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[2],b'UINT8',b'distributed',925,745,180,0,520,0,0,0
t1w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",4,"[2, 2]",[146],b'UINT8',[2],b'UINT8',b'distributed',1010,790,220,0,724,0,0,0
t1w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[9216],b'UINT8',b'distributed',927,747,180,0,520,0,0,0
t1w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[2],b'UINT8',b'distributed',923,743,180,0,520,0,0,0
t1w4_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",4,"[2, 2]",[146],b'UINT8',[2],b'UINT8',b'distributed',1010,790,220,0,724,0,0,0
t1w8_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[9216],b'UINT8',b'distributed',939,759,180,0,520,0,0,0
t1w8_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[2],b'UINT8',b'distributed',931,751,180,0,520,0,0,0
t1w8_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",4,"[2, 2]",[146],b'UINT8',[2],b'UINT8',b'distributed',975,755,220,0,724,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[9216],b'UINT8',b'distributed',924,744,180,0,520,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[18, 18]","[8, 8]",1,"[2, 2]",[577],b'UINT2',[1582],b'UINT2',b'distributed',797,707,90,0,461,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",8,"[10, 10]","[4, 4]",1,"[2, 2]",[129],b'UINT2',[2],b'UINT2',b'distributed',720,690,30,0,456,0,0,0
t2w2_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[6, 6]","[2, 2]",1,"[2, 2]",[110],b'UINT2',[286],b'UINT2',b'distributed',704,674,30,0,455,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[2],b'UINT8',b'distributed',931,751,180,0,520,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[18, 18]","[8, 8]",1,"[2, 2]",[769],b'UINT2',[2],b'UINT2',b'distributed',795,705,90,0,461,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",8,"[10, 10]","[4, 4]",1,"[2, 2]",[129],b'UINT2',[2],b'UINT2',b'distributed',708,678,30,0,456,0,0,0
t2w2_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[6, 6]","[2, 2]",1,"[2, 2]",[110],b'UINT2',[286],b'UINT2',b'distributed',716,686,30,0,455,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",4,"[2, 2]",[146],b'UINT8',[2],b'UINT8',b'distributed',973,753,220,0,724,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[18, 18]","[8, 8]",8,"[2, 2]",[58],b'UINT2',[2],b'UINT2',b'distributed',815,705,110,0,595,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",8,"[10, 10]","[4, 4]",1,"[2, 2]",[146],b'UINT2',[569],b'UINT2',b'distributed',718,688,30,0,456,0,0,0
t2w2_50000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[6, 6]","[2, 2]",1,"[2, 2]",[121],b'UINT2',[2],b'UINT2',b'distributed',722,692,30,0,455,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[9216],b'UINT8',b'distributed',929,749,180,0,520,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[18, 18]","[8, 8]",1,"[2, 2]",[577],b'UINT4',[1582],b'UINT4',b'distributed',899,749,150,0,481,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",8,"[10, 10]","[4, 4]",1,"[2, 2]",[129],b'UINT4',[2],b'UINT4',b'distributed',738,678,60,0,476,0,0,0
t2w4_500fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_3,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[6, 6]","[2, 2]",1,"[2, 2]",[110],b'UINT4',[286],b'UINT4',b'distributed',753,693,60,0,475,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_0,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",4,"[34, 34]","[16, 16]",1,"[2, 2]",[4624],b'UINT8',[2],b'UINT8',b'distributed',930,750,180,0,520,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_1,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",16,"[18, 18]","[8, 8]",1,"[2, 2]",[769],b'UINT4',[2],b'UINT4',b'distributed',891,741,150,0,481,0,0,0
t2w4_5000fps_u,StreamingDataflowPartition_1_ConvolutionInputGenerator_hls_2,ConvolutionInputGenerator_hls,partition_2,"[3, 3]","[1, 1]",8,"[10, 10]","[4, 4]",1,"[2, 2]",[129],b'UINT4',[2],b'UINT4',b'distributed',735,675,60,0,476,0,0,0
