Actual_Total_LUTs,Pred_Total_LUTs
8726,7115.08
1010,927.29
112,98.99904761904762
69,70.11765544710707
3407,4124.12
350,299.51
2692,3005.86
11,11.05
24,38.831658730158736
12,11.05
4,4.098040526724737
310,299.0
19,18.444277777777778
7,6.9984210526315795
262,288.36
35,42.742331718038365
298,298.86
11,11.0
39,43.969137656735676
4,4.138040526724737
43,43.00424950390834
16,15.706468253968254
12348,9802.86
1010,927.29
112,98.99904761904762
75,75.23591735186896
4657,4747.48
740,733.8958333333333
4223,4303.53
557,566.25
12,12.03
14,15.660357142857142
5,4.990649222376912
310,299.0
20,18.504277777777776
7,6.9984210526315795
258,288.36
36,42.702331718038366
149,185.50904761904764
23,23.894444444444442
83,87.44225569773363
7,6.9984210526315795
43,43.00424950390834
18,18.044277777777776
39293,14618.77
975,924.8181666666665
112,98.99904761904762
99,98.99904761904762
27281,12967.38
3078,3052.52
6172,6122.68
489,527.77
12,12.03
43,55.78154404372436
7,7.018421052631579
310,299.0
19,18.444277777777778
7,6.9984210526315795
258,288.36
36,42.702331718038366
77,84.38686973282137
83,87.44225569773363
165,185.50904761904764
11,11.0
44,43.00424950390834
26,26.447575396825396
9279,7060.56
973,924.8181666666665
815,827.75
718,713.2354285714287
722,722.9173333333335
112,98.99904761904762
89,89.85375
72,71.7771074673091
71,71.1371074673091
54,53.639277974523154
1919,2417.9
819,974.19
305,305.15
421,393.67
275,275.49
320,299.51
12,12.03
23,37.42194444444444
5,4.990649222376912
7,7.018421052631579
4,4.098040526724737
4,4.098040526724737
310,299.0
20,18.504277777777776
166,90.68375
26,25.642492063492064
47,46.8305100011919
43,43.00424950390834
43,43.00424950390834
26,25.642492063492064
38,37.072732213438734
7,6.988421052631579
64,58.423648932379955
5,4.990649222376912
257,288.36
11,11.0
7,6.9984210526315795
36,42.702331718038366
299,298.86
8,8.0
39,36.97273221343873
12,12.0
74,70.96011403508771
20,18.504277777777776
