Hardware config,Submodule Instance,ConvKernelDim,Dilation,ImgDim (dimensions flattened),K,Labels,NumChannels,PE,Padding (dimensions flattened),SIMD,Stride,cycles_estimate,inputDataType (bits),numInputVectors,Total LUT,Total FFs,DSP Blocks
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,2312,8,,65,97,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,2592,8,,50,91,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,8,,41,66,0
builds_t2w8_run18_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,8,,47,58,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,2592,2,,46,75,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run15_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,2,,2592,2,,46,75,0
builds_t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run16_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,8,,47,76,0
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,8,,41,66,0
builds_t2w8_run11_40_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,8,,47,58,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,2,,47,76,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,2,,41,66,0
builds_t2w2_run11_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,2,,47,58,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,1,,4624,8,,51,83,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_1,,,256,,,16,,1,1,,5184,4,,47,76,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_2,,,64,,,8,,1,1,,800,4,,41,66,0
builds_t2w4_run11_20_modify_folding_BOTH,FMPadding_rtl_3,,,16,,,16,,1,1,,576,4,,47,58,0
builds_t2w2_run19_40_modify_folding_BOTH,FMPadding_rtl_0,,,1024,,,4,,1,2,,2312,8,,65,97,0
