Hardware config,Submodule Instance,ConvKernelDim,Dilation,K,Labels,PE,Padding,Stride,numInputVectors,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_0,,,,,,,,,331,44,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_1,,,,,,,,,23,38,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_10,,,,,,,,,478,167,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_11,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_12,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_13,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_14,,,,,,,,,130,64,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_15,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_16,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_17,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_18,,,,,,,,,125,35,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_19,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_2,,,,,,,,,191,51,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_20,,,,,,,,,31,54,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_21,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_3,,,,,,,,,39,70,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_4,,,,,,,,,2711,375,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_5,,,,,,,,,15,22,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_6,,,,,,,,,161,37,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_7,,,,,,,,,23,38,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_8,,,,,,,,,98,48,0.0,0
builds_t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_9,,,,,,,,,39,70,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_0,,,,,,,,,319,37,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_1,,,,,,,,,15,22,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_10,,,,,,,,,132,49,0.0,0
builds_t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_11,,,,,,,,,55,24,0.0,0
