Hardware config,Submodule Instance,isRTL,isHLS,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,PE,Padding,SIMD,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depthwise,inputDataType,is1D,mem_mode,noActivation,numInputVectors,op_type,outputDataType,parallel_window,ram_style,resType,runtime_writeable_weights,weightDataType,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
t2w8_run18_40_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,1473,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,51,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,326,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,51,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,61,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,311,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,44,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,44,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,326,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,44,0.0,0
t2w2_run16_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,14,0.0,0
t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439,793,0.0,0
t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0.0,0
t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,166,0.0,0
t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0.0,0
t2w8_run11_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,36,0.0,0
t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,283,0.0,0
t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0.0,0
t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,166,0.0,0
t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0.0,0
t2w2_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,0.0,0
t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_hls_0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,453,0.0,0
t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,27,0.0,0
t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,166,0.0,0
t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,0.0,0
t2w4_run11_20_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,20,0.0,0
t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,51,0.0,0
t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,326,0.0,0
t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,0.0,0
t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,61,0.0,0
t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,19,0.0,0
t2w2_run19_40_modify_folding_BOTH,StreamingDataWidthConverter_rtl_5,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,0.0,0
t2w8_run19_80_modify_folding_BOTH,StreamingDataWidthConverter_rtl_0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,51,0.0,0
