Hardware config,Submodule Instance,isRTL,isHLS,ActVal,ConvKernelDim,Dilation,IFMChannels,IFMDim,ImgDim,K,Labels,MH,MW,NumChannels,OFMDim,PE,Padding,SIMD,Stride,accDataType,backend,binaryXnorMode,cycles_estimate,depthwise,inputDataType,is1D,mem_mode,noActivation,numInputVectors,op_type,outputDataType,parallel_window,ram_style,resType,runtime_writeable_weights,weightDataType,Total LUT,Total FFs,BRAM (36k eq.),DSP Blocks
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,44,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,38,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_10,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,167,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_11,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_12,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_13,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_14,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,64,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_15,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_16,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_17,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_18,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,35,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_19,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_2,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,51,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_20,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,54,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_21,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_3,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,70,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_4,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711,375,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_5,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_6,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,37,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_7,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,38,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_8,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,48,0.0,0
t2w8_run18_40_modify_folding_BOTH,StreamingFIFO_rtl_9,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,70,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,37,0.0,0
t2w2_run15_40_modify_folding_BOTH,StreamingFIFO_rtl_1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,22,0.0,0
