Hardware config,Submodule Instance,ConvKernelDim (dimensions flattened),Dilation (dimensions flattened),Input Feature Map Channels,Input Feature Map Dim (dimensions flattened),K,Labels,Output Feature Map Dim (dimensions flattened),PE,Padding,SIMD,Stride (dimensions flattened),accDataType (bits),cycles_estimate,inputDataType (bits),numInputVectors,outputDataType (bits),parallel_window,weightDataType (bits),Total LUT,DSP Blocks
t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,8,,8,0,,320,0
t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,8,,8,0,,192,0
t2w8_run18_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,8,,8,0,,205,0
t2w2_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,2,4,,4750,8,,8,0,,242,0
t2w2_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,2,,2,0,,199,0
t2w2_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
t2w2_run15_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_3,9,1,16,36,,,4,,,1,4,,816,2,,2,0,,172,0
t2w2_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_0,9,1,4,1156,,,256,,,4,4,,2375,8,,8,0,,245,0
t2w2_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_1,9,1,16,324,,,64,,,4,4,,2460,2,,2,0,,199,0
t2w2_run16_40_modify_folding_BOTH,ConvolutionInputGenerator_rtl_2,9,1,8,100,,,16,,,1,4,,1336,2,,2,0,,161,0
