Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
13.4004,13.4004,0.0,7.5893,22.8571,0.0,0.0,13.411952,13.40391,7.4676386e-06,6.0144095,22.546417,1.8281322e-05,0.0014691567
0.8008,0.8007999999999998,0.0,0.7453,5.714300000000001,0.3571,0.0,0.8004216,0.78432167,7.4676386e-06,0.72952676,5.7015343,0.35710028,0.0015390452
0.609,0.609,0.0,0.4361,2.8571,0.3571,0.0,1.0680057,1.1466277,7.4676386e-06,0.4320522,2.8852837,0.35697526,0.0015390452
0.5695,0.5695,0.0,0.4323,0.0,0.3571,0.4545,7.388692,7.247055,7.4676386e-06,0.8957573,0.2610172,0.04956353,0.46750492
0.8008,0.8007999999999998,0.0,0.7453,5.714300000000001,0.3571,0.0,1.0895988,1.1178231,7.4676386e-06,0.5565768,6.059619,0.35718134,0.0015390452
6.1429,6.1429,0.0,1.1438,0.0,0.3571,0.9090999999999999,6.129069,6.144686,7.4676386e-06,1.1484169,0.021593815,0.35722634,0.9114514
13.4004,13.4004,0.0,7.5893,22.8571,0.0,0.0,13.411952,13.40391,7.4676386e-06,7.5893993,22.857899,1.8281322e-05,0.0014691567
7.2951,7.295099999999999,0.0,5.0357,11.428600000000001,0.0,0.0,1.8165848,1.7558075,7.4676386e-06,0.8762004,0.14036375,0.3467214,0.0015390452
6.1767,6.1767,0.0,2.3863000000000003,12.8571,0.3571,0.0,6.187114,6.1789293,7.4676386e-06,2.3845527,12.859559,0.35718134,0.0015390452
5.4737,5.4737,0.0,0.6842,0.0,0.3571,0.4545,5.6519217,5.642732,-0.0002118575,1.034707,0.0012746254,0.39711487,0.46750492
0.8008,0.8007999999999998,0.0,0.7453,5.714300000000001,0.3571,0.0,0.8004216,0.78432167,7.4676386e-06,0.72952676,5.7015343,0.35710028,0.0015390452
6.1767,6.1767,0.0,2.3863000000000003,12.8571,0.3571,0.0,6.187114,6.1789293,7.4676386e-06,2.3845527,12.859559,0.35718134,0.0015390452
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,1.8396612,1.8409271,7.4676386e-06,0.6853837,0.7167772,2.0849748e-05,0.0015390452
0.7914,0.7914,0.0,0.4624,0.0,0.3571,0.0,0.8692898,0.8368441,7.4676386e-06,0.4716676,0.051021237,0.35622337,0.0015390452
5.0489,5.0489,0.0,4.1184,0.7143,0.0,0.0,2.8591225,2.8606992,7.4676386e-06,2.2334783,0.3656153,0.1780869,0.0015390452
6.1767,6.1767,0.0,2.3863000000000003,12.8571,0.3571,0.0,6.187114,6.1789293,7.4676386e-06,2.3845527,12.859559,0.35718134,0.0015390452
0.75,0.75,0.0,0.422,0.0,0.3571,0.0,0.63794637,0.19897093,0.001139227,0.27414516,-0.24421474,0.3306349,0.0015390452
0.609,0.609,0.0,0.4361,2.8571,0.3571,0.0,0.6184578,0.5953479,7.4676386e-06,0.43283886,2.8599093,0.35726878,0.0015390452
1.3853,1.3853000000000002,0.0,1.1062,0.0,0.3571,0.0,1.2701932,2.0657482,7.4676386e-06,1.1934513,-0.39485773,0.3546906,0.0015390452
1.4737000000000002,1.4737,0.0,0.7575,0.0,0.3571,0.0,1.8165848,1.7558075,7.4676386e-06,0.8762004,0.14036375,0.3467214,0.0015390452
0.609,0.609,0.0,0.4361,2.8571,0.3571,0.0,0.6184578,0.5953479,7.4676386e-06,0.43283886,2.8599093,0.35726878,0.0015390452
2.1335,2.1335,0.0,1.8008,5.714300000000001,0.7143,0.0,0.49774414,0.51792616,7.4676386e-06,0.31299913,-0.0059878207,0.35735637,0.0015390452
13.4004,13.4004,0.0,7.5893,22.8571,0.0,0.0,13.411952,13.40391,7.4676386e-06,7.5893993,22.857899,1.8281322e-05,0.0014691567
0.8008,0.8007999999999998,0.0,0.7453,5.714300000000001,0.3571,0.0,0.8004216,0.78432167,7.4676386e-06,0.72952676,5.7015343,0.35710028,0.0015390452
1.2951,1.2951000000000001,0.0,0.9953000000000001,0.0,0.3571,0.0,1.1177012,1.398618,7.4676386e-06,0.623825,-0.10901866,0.3400119,0.0015390452
0.9305,0.9304999999999999,0.0,0.516,0.0,0.3571,0.0,4.675181,4.470145,7.4676386e-06,3.5498502,1.9277128,0.0036606388,0.0015390452
0.5714,0.5714,0.0,0.4323,0.0,0.3571,0.4545,7.388692,7.247055,7.4676386e-06,0.8957573,0.2610172,0.04956353,0.46750492
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,1.8396612,1.8409271,7.4676386e-06,0.6853837,0.7167772,2.0849748e-05,0.0015390452
1.8402,1.8402,0.0,0.6833,0.7143,0.0,0.0,1.8396612,1.8409271,7.4676386e-06,0.6853837,0.7167772,2.0849748e-05,0.0015390452
