Actual_Total LUTs,Actual_FFs,Actual_RAMBs,Actual_DSP Blocks,Pred_Total LUTs,Pred_FFs,Pred_RAMBs,Pred_DSP Blocks
1.9906,1.2077,0.3571,0.0,3.0937297,1.3190273,1.011757,0.0015910415
0.5169,0.219,0.3571,0.0,0.5308894,0.21890184,0.36176205,0.0015910415
0.6579,0.2848,0.3571,0.0,2.7958539,1.3521992,2.2916226,0.0015910415
5.6259,0.8111,0.3571,0.4545,5.6692195,1.0190636,0.6664511,0.58687645
0.953,0.5132,0.3571,0.0,3.055721,2.2376442,1.8156923,0.0015910415
2.1335,1.8008,6.428599999999999,0.0,2.1607988,1.8009816,6.4407597,0.0015910415
1.2425,0.4474,0.3571,0.0,1.1520076,0.37335336,0.41083494,0.0015910415
2.7932,1.9981000000000002,1.4286,0.0,4.771646,2.646711,0.56917363,0.0015910415
0.609,0.4361,3.2141999999999995,0.0,0.6117425,0.43720362,3.2191277,0.0015910415
4.9154,3.6842000000000006,2.1429,0.0,4.9394073,3.6898892,2.1580002,0.0015910415
1.8402,0.6833,0.7143,0.0,1.8381041,0.6827363,0.71504885,0.0015910415
2.1335,1.8008,6.428599999999999,0.0,2.2274618,1.8294542,6.4407597,0.0015910415
3.8853000000000004,2.6316000000000006,5.714300000000001,0.0,1.4979718,1.6862093,4.7947636,0.0015910415
7.2951,5.0357,11.428600000000001,0.0,7.3043504,5.038738,11.429216,0.0015910415
