Actual_Total LUTs,Actual_Logic LUTs,Actual_LUTRAMs,Actual_SRLs,Actual_FFs,Actual_RAMB36,Actual_RAMB18,Actual_DSP Blocks,Pred_Total LUTs,Pred_Logic LUTs,Pred_LUTRAMs,Pred_SRLs,Pred_FFs,Pred_RAMB36,Pred_RAMB18,Pred_DSP Blocks
3407,3407,0,0,5051,4,0,0,1897.6040240481275,1919.8391742087133,1.2437433730337726,-0.035193932347950665,1765.637125527701,3.6813927471133177,0.8525762555248425,1.072194849045114
350,315,35,0,618,0,0,0,1149.941614007097,1154.6177033848444,2.59222135354521,0.8117113830092993,1317.9946681220395,2.41297640096926,1.1754669106785025,1.1817597383645342
2692,2692,0,0,4382,1,0,0,4489.3614666750545,4476.64009005913,11.82246081906725,11.731402206114723,8120.87973872161,29.121572923911067,13.0459802416894,12.764389551170385
4657,4657,0,0,4382,4,0,0,1841.7473688916484,1860.5574974327217,0.6130214815420376,-0.7660133249472383,1471.9517121062213,1.238943985084833,0.3074593742228001,0.4961980867121212
740,682,58,0,1058,0,0,0,1442.8827420912605,1448.6143789725052,2.4717791972643375,0.7877797084379818,1370.6044497952346,2.4042488880815656,1.2620155400509026,1.5921977624154569
4223,4223,0,0,8585,2,0,0,4752.555287697131,4742.891962142827,11.644739308014486,11.556199933668818,8351.90158053964,29.24417021998177,12.88481280871689,12.790739049502776
27281,27281,0,0,5294,9,0,100,2270.6769263146266,2305.3288475609775,-0.10505308201257393,-1.1091288668914918,1460.9329039574675,0.3649832950188878,0.2026167758321802,0.9724626138141012
3078,3078,0,0,1389,2,1,22,2296.568102962806,2333.7485492228207,1.6523742595443813,0.7472142615221914,1577.9739876408912,2.595328233961372,1.5410347906422615,2.8306009063400364
6172,6172,0,0,16931,4,0,2,5532.415083057037,5551.247648111567,11.044852878268983,11.005645451426002,8946.95986948877,29.420223234282197,12.375175461449308,12.895186784169704
1919,1919,0,0,3261,2,0,0,1907.9181999891657,1929.4262149394228,1.5618467614255194,0.16694770739055642,1788.4893446944313,3.7867070321396015,1.0236281890550873,1.25234841778728
819,819,0,0,1393,1,0,0,1707.7915693855223,1721.570562675169,-0.14589425760127658,-0.402681177085389,1828.7445835859037,2.778779967637748,-0.5250576963300644,0.13818394839930467
305,305,0,0,349,0,1,0,652.1115794205646,640.5315309742899,3.3951252427366003,2.9477822388440043,267.79305301608156,3.2097054072735327,3.508123589084165,3.002835382974876
421,421,0,0,492,0,1,0,721.2196184000773,736.1966768978481,1.1625576557446407,1.307070347523436,692.5688325376096,2.6470922206534717,1.211299908316163,1.2082930278120432
275,275,0,0,233,0,1,0,521.9538735716241,535.4057601881921,0.010382544131973148,0.003917299276941247,364.2096726880428,0.13814718905227166,0.8682192732324948,0.0018500986034264144
3800,3800,0,0,3734,3,0,0,1843.7701273659432,1859.6561558796543,3.9953747223287728,2.3945650109468692,1451.4284317085362,1.9193090363027725,3.449305004831283,3.7275866993022033
1486,1486,0,0,2126,2,0,0,1800.9069997186723,1832.0002142753674,-1.5697996161188807,-1.7572353612767595,1774.479916082375,1.6288440350305864,-1.8495813933906717,-1.082549160509602
485,485,0,0,547,0,1,0,925.0533559990093,923.1896959884049,3.2335090697591578,2.848527382731098,409.767905844603,2.8310425049737944,3.3746985885631564,3.061963812168945
678,678,0,0,833,0,1,0,964.5807718352537,992.5284348348262,1.1667942339936446,1.297194992136959,879.1689046927671,2.476083955302698,1.2263013061214698,1.2287733525188176
277,277,0,0,334,0,1,0,835.47576130537,861.7132696775819,0.021128769408843895,0.001574785413137672,528.3885937341503,-0.017485795799335513,1.0805994001032413,0.07240999952125532
